WP, 70, 1950091212,   , XRQA,   0, 205N, 1535E,  25,    0, SS
WP, 70, 1950091218,   , XRQA,   0, 217N, 1522E,  25,    0, SS
WP, 70, 1950091300,   , XRQA,   0, 232N, 1509E,  25,    0, SS
WP, 70, 1950091306,   , XRQA,   0, 247N, 1495E,  25,    0, SS
WP, 70, 1950091312,   , XRQA,   0, 264N, 1482E,  30,    0, SS
WP, 70, 1950091318,   , XRQA,   0, 281N, 1465E,  25,    0, SS
WP, 70, 1950091400,   , XRQA,   0, 293N, 1447E,  20,    0, DB
WP, 70, 1950091406,   , XRQA,   0, 302N, 1427E,  20,    0, DB
WP, 70, 1950091412,   , XRQA,   0, 307N, 1405E,  20,    0, DB
WP, 70, 1950091418,   , XRQA,   0, 305N, 1388E,  25,    0, TD
WP, 70, 1950091500,   , XRQA,   0, 303N, 1375E,  30,    0, TD
WP, 70, 1950091506,   , XRQA,   0, 307N, 1365E,  35,    0, TS
WP, 70, 1950091512,   , XRQA,   0, 313N, 1358E,  40,    0, TS
WP, 70, 1950091518,   , XRQA,   0, 320N, 1353E,  45,    0, TS
WP, 70, 1950091600,   , XRQA,   0, 327N, 1350E,  40,    0, TS
WP, 70, 1950091606,   , XRQA,   0, 335N, 1349E,  35,    0, TS
WP, 70, 1950091612,   , XRQA,   0, 349N, 1352E,  30,    0, TD
WP, 70, 1950091618,   , XRQA,   0, 364N, 1365E,  30,    0, TD
WP, 70, 1950091700,   , XRQA,   0, 380N, 1390E,  25,    0, TD
WP, 70, 1950091706,   , XRQA,   0, 405N, 1425E,  25,    0, TD
WP, 70, 1950091712,   , XRQA,   0, 420N, 1453E,  30,    0, EX
WP, 70, 1950091718,   , XRQA,   0, 443N, 1495E,  35,    0, EX
WP, 70, 1950091800,   , XRQA,   0, 458N, 1538E,  35,    0, EX
