CP, 01, 1970083012,   , XRQA,   0, 222N, 1647W,  15,    0, DB
CP, 01, 1970083018,   , XRQA,   0, 225N, 1663W,  20,    0, DB
CP, 01, 1970083100,   , XRQA,   0, 229N, 1679W,  20,    0, DB
CP, 01, 1970083106,   , XRQA,   0, 234N, 1695W,  25,    0, TD
CP, 01, 1970083112,   , XRQA,   0, 240N, 1710W,  30,    0, TD
CP, 01, 1970083118,   , XRQA,   0, 246N, 1725W,  35,    0, TS
CP, 01, 1970090100,   , XRQA,   0, 253N, 1740W,  35,    0, TS
CP, 01, 1970090106,   , XRQA,   0, 261N, 1751W,  40,    0, TS
CP, 01, 1970090112,   , XRQA,   0, 270N, 1762W,  45,    0, TS
CP, 01, 1970090118,   , XRQA,   0, 280N, 1770W,  50,    0, TS
CP, 01, 1970090200,   , XRQA,   0, 291N, 1780W,  55,    0, TS
CP, 01, 1970090206,   , XRQA,   0, 302N, 1787W,  60,    0, TS
CP, 01, 1970090212,   , XRQA,   0, 313N, 1793W,  65,    0, TY
CP, 01, 1970090218,   , XRQA,   0, 325N, 1798W,  75,    0, TY
CP, 01, 1970090300,   , XRQA,   0, 336N, 1799E,  65,    0, TY
CP, 01, 1970090306,   , XRQA,   0, 351N, 1799W,  55,    0, TS
CP, 01, 1970090312,   , XRQA,   0, 367N, 1793W,  50,    0, TS
CP, 01, 1970090318,   , XRQA,   0, 387N, 1774W,  45,    0, TS
CP, 01, 1970090400,   , XRQA,   0, 401N, 1755W,  50,    0, TS
CP, 01, 1970090406,   , XRQA,   0, 413N, 1729W,  50,    0, TS
CP, 01, 1970090412,   , XRQA,   0, 423N, 1695W,  50,    0, TS
CP, 01, 1970090418,   , XRQA,   0, 431N, 1670W,  50,    0, EX
CP, 01, 1970090500,   , XRQA,   0, 437N, 1640W,  50,    0, EX
CP, 01, 1970090506,   , XRQA,   0, 441N, 1610W,  50,    0, EX
