WP, 05, 1976050900,   , XRQA,   0, 108N, 1464E,  15,    0, DB
WP, 05, 1976050906,   , XRQA,   0, 112N, 1450E,  20,    0, DB
WP, 05, 1976050912,   , XRQA,   0, 117N, 1438E,  20,    0, DB
WP, 05, 1976050918,   , XRQA,   0, 121N, 1428E,  25,    0, TD
WP, 05, 1976051000,   , XRQA,   0, 123N, 1420E,  30,    0, TD
WP, 05, 1976051006,   , XRQA,   0, 121N, 1413E,  35,    0, TS
WP, 05, 1976051012,   , XRQA,   0, 119N, 1406E,  40,    0, TS
WP, 05, 1976051018,   , XRQA,   0, 117N, 1399E,  35,    0, TS
WP, 05, 1976051100,   , XRQA,   0, 115N, 1392E,  45,    0, TS
WP, 05, 1976051106,   , XRQA,   0, 112N, 1385E,  50,    0, TS
WP, 05, 1976051112,   , XRQA,   0, 110N, 1379E,  45,    0, TS
WP, 05, 1976051118,   , XRQA,   0, 107N, 1373E,  50,    0, TS
WP, 05, 1976051200,   , XRQA,   0, 105N, 1368E,  45,    0, TS
WP, 05, 1976051206,   , XRQA,   0, 106N, 1363E,  40,    0, TS
WP, 05, 1976051212,   , XRQA,   0, 107N, 1357E,  30,    0, TD
WP, 05, 1976051218,   , XRQA,   0, 110N, 1352E,  30,    0, TD
WP, 05, 1976051300,   , XRQA,   0, 113N, 1346E,  25,    0, TD
WP, 05, 1976051306,   , XRQA,   0, 115N, 1341E,  30,    0, TD
WP, 05, 1976051312,   , XRQA,   0, 116N, 1337E,  35,    0, TS
WP, 05, 1976051318,   , XRQA,   0, 117N, 1332E,  45,    0, TS
WP, 05, 1976051400,   , XRQA,   0, 119N, 1328E,  35,    0, TS
WP, 05, 1976051406,   , XRQA,   0, 117N, 1325E,  30,    0, TD
WP, 05, 1976051412,   , XRQA,   0, 114N, 1322E,  25,    0, TD
WP, 05, 1976051418,   , XRQA,   0, 111N, 1324E,  30,    0, TD
WP, 05, 1976051500,   , XRQA,   0, 108N, 1326E,  40,    0, TS
WP, 05, 1976051506,   , XRQA,   0, 107N, 1325E,  45,    0, TS
WP, 05, 1976051512,   , XRQA,   0, 109N, 1320E,  50,    0, TS
WP, 05, 1976051518,   , XRQA,   0, 113N, 1314E,  45,    0, TS
WP, 05, 1976051600,   , XRQA,   0, 117N, 1308E,  40,    0, TS
WP, 05, 1976051606,   , XRQA,   0, 121N, 1304E,  30,    0, TD
WP, 05, 1976051612,   , XRQA,   0, 127N, 1300E,  35,    0, TS
WP, 05, 1976051618,   , XRQA,   0, 133N, 1297E,  50,    0, TS
WP, 05, 1976051700,   , XRQA,   0, 139N, 1292E,  45,    0, TS
WP, 05, 1976051706,   , XRQA,   0, 143N, 1284E,  55,    0, TS
WP, 05, 1976051712,   , XRQA,   0, 145N, 1275E,  50,    0, TS
WP, 05, 1976051718,   , XRQA,   0, 147N, 1267E,  50,    0, TS
WP, 05, 1976051800,   , XRQA,   0, 148N, 1261E,  55,    0, TS
WP, 05, 1976051806,   , XRQA,   0, 150N, 1257E,  55,    0, TS
WP, 05, 1976051812,   , XRQA,   0, 151N, 1254E,  45,    0, TS
WP, 05, 1976051818,   , XRQA,   0, 154N, 1252E,  45,    0, TS
WP, 05, 1976051900,   , XRQA,   0, 157N, 1248E,  50,    0, TS
WP, 05, 1976051906,   , XRQA,   0, 155N, 1247E,  55,    0, TS
WP, 05, 1976051912,   , XRQA,   0, 154N, 1245E,  60,    0, TS
WP, 05, 1976051918,   , XRQA,   0, 156N, 1243E,  65,    0, TY
