IO, 02, 1978101400,   , XRQA,   0, 131N, 1370E,  15,    0, DB
IO, 02, 1978101406,   , XRQA,   0, 135N, 1355E,  15,    0, DB
IO, 02, 1978101412,   , XRQA,   0, 140N, 1343E,  15,    0, DB
IO, 02, 1978101418,   , XRQA,   0, 144N, 1331E,  20,    0, DB
IO, 02, 1978101500,   , XRQA,   0, 147N, 1318E,  20,    0, DB
IO, 02, 1978101506,   , XRQA,   0, 150N, 1306E,  20,    0, DB
IO, 02, 1978101512,   , XRQA,   0, 149N, 1294E,  25,    0, TD
IO, 02, 1978101518,   , XRQA,   0, 147N, 1284E,  25,    0, TD
IO, 02, 1978101600,   , XRQA,   0, 144N, 1276E,  20,    0, DB
IO, 02, 1978101606,   , XRQA,   0, 145N, 1270E,  20,    0, DB
IO, 02, 1978101612,   , XRQA,   0, 148N, 1265E,  20,    0, DB
IO, 02, 1978101618,   , XRQA,   0, 149N, 1259E,  20,    0, DB
IO, 02, 1978101700,   , XRQA,   0, 151N, 1253E,  25,    0, TD
IO, 02, 1978101706,   , XRQA,   0, 152N, 1248E,  25,    0, TD
IO, 02, 1978101712,   , XRQA,   0, 152N, 1243E,  30,    0, TD
IO, 02, 1978101718,   , XRQA,   0, 151N, 1237E,  25,    0, TD
IO, 02, 1978101800,   , XRQA,   0, 151N, 1231E,  25,    0, TD
IO, 02, 1978101806,   , XRQA,   0, 150N, 1223E,  20,    0, DB
IO, 02, 1978101812,   , XRQA,   0, 147N, 1212E,  20,    0, DB
IO, 02, 1978101818,   , XRQA,   0, 144N, 1200E,  20,    0, DB
IO, 02, 1978101900,   , XRQA,   0, 139N, 1188E,  20,    0, DB
IO, 02, 1978101906,   , XRQA,   0, 135N, 1177E,  20,    0, DB
IO, 02, 1978101912,   , XRQA,   0, 130N, 1167E,  20,    0, DB
IO, 02, 1978101918,   , XRQA,   0, 126N, 1158E,  25,    0, TD
IO, 02, 1978102000,   , XRQA,   0, 122N, 1150E,  25,    0, TD
IO, 02, 1978102006,   , XRQA,   0, 119N, 1142E,  20,    0, DB
IO, 02, 1978102012,   , XRQA,   0, 115N, 1134E,  20,    0, DB
IO, 02, 1978102018,   , XRQA,   0, 112N, 1126E,  20,    0, DB
IO, 02, 1978102100,   , XRQA,   0, 109N, 1118E,  20,    0, DB
IO, 02, 1978102106,   , XRQA,   0, 107N, 1110E,  20,    0, DB
IO, 02, 1978102112,   , XRQA,   0, 106N, 1103E,  20,    0, DB
IO, 02, 1978102118,   , XRQA,   0, 104N, 1096E,  25,    0, TD
IO, 02, 1978102200,   , XRQA,   0, 103N, 1088E,  25,    0, TD
IO, 02, 1978102206,   , XRQA,   0, 101N, 1079E,  25,    0, TD
IO, 02, 1978102212,   , XRQA,   0, 102N, 1068E,  20,    0, DB
IO, 02, 1978102218,   , XRQA,   0, 104N, 1055E,  20,    0, DB
IO, 02, 1978102300,   , XRQA,   0, 107N, 1045E,  20,    0, DB
IO, 02, 1978102306,   , XRQA,   0, 109N, 1033E,  20,    0, DB
IO, 02, 1978102312,   , XRQA,   0, 113N, 1020E,  25,    0, TD
IO, 02, 1978102318,   , XRQA,   0, 114N, 1008E,  25,    0, TD
IO, 02, 1978102400,   , XRQA,   0, 116N,  996E,  25,    0, TD
IO, 02, 1978102406,   , XRQA,   0, 117N,  983E,  20,    0, DB
IO, 02, 1978102412,   , XRQA,   0, 119N,  973E,  20,    0, DB
IO, 02, 1978102418,   , XRQA,   0, 121N,  960E,  25,    0, TD
IO, 02, 1978102500,   , XRQA,   0, 124N,  945E,  30,    0, TD
IO, 02, 1978102506,   , XRQA,   0, 126N,  932E,  35,    0, TS
IO, 02, 1978102512,   , XRQA,   0, 127N,  922E,  45,    0, TS
IO, 02, 1978102518,   , XRQA,   0, 130N,  914E,  45,    0, TS
IO, 02, 1978102600,   , XRQA,   0, 135N,  911E,  50,    0, TS
IO, 02, 1978102606,   , XRQA,   0, 141N,  903E,  50,    0, TS
IO, 02, 1978102612,   , XRQA,   0, 148N,  896E,  55,    0, TS
IO, 02, 1978102618,   , XRQA,   0, 157N,  888E,  65,    0, TY
IO, 02, 1978102700,   , XRQA,   0, 166N,  882E,  65,    0, TY
IO, 02, 1978102706,   , XRQA,   0, 172N,  875E,  75,    0, TY
IO, 02, 1978102712,   , XRQA,   0, 179N,  869E,  80,    0, TY
IO, 02, 1978102718,   , XRQA,   0, 185N,  867E,  70,    0, TY
IO, 02, 1978102800,   , XRQA,   0, 192N,  872E,  55,    0, TS
IO, 02, 1978102806,   , XRQA,   0, 197N,  877E,  45,    0, TS
IO, 02, 1978102812,   , XRQA,   0, 199N,  880E,  40,    0, TS
IO, 02, 1978102818,   , XRQA,   0, 201N,  878E,  45,    0, TS
IO, 02, 1978102900,   , XRQA,   0, 204N,  873E,  35,    0, TS
IO, 02, 1978102906,   , XRQA,   0, 208N,  867E,  30,    0, TD
IO, 02, 1978102912,   , XRQA,   0, 214N,  860E,  25,    0, TD
IO, 02, 1978102918,   , XRQA,   0, 221N,  853E,  20,    0, DB
