SH, 04, 1978122300,   , XRQA,   0,  40S, 1650E,  15,    0, DB
SH, 04, 1978122306,   , XRQA,   0,  39S, 1658E,  20,    0, DB
SH, 04, 1978122312,   , XRQA,   0,  40S, 1665E,  20,    0, DB
SH, 04, 1978122318,   , XRQA,   0,  41S, 1675E,  20,    0, DB
SH, 04, 1978122400,   , XRQA,   0,  39S, 1689E,  20,    0, DB
SH, 04, 1978122406,   , XRQA,   0,  38S, 1702E,  25,    0, TD
SH, 04, 1978122412,   , XRQA,   0,  40S, 1712E,  25,    0, TD
SH, 04, 1978122418,   , XRQA,   0,  42S, 1720E,  30,    0, TD
SH, 04, 1978122500,   , XRQA,   0,  46S, 1733E,  35,    0, TS
SH, 04, 1978122506,   , XRQA,   0,  52S, 1741E,  35,    0, TS
SH, 04, 1978122512,   , XRQA,   0,  58S, 1746E,  40,    0, TS
SH, 04, 1978122518,   , XRQA,   0,  63S, 1748E,  45,    0, TS
SH, 04, 1978122600,   , XRQA,   0,  67S, 1749E,  50,    0, TS
SH, 04, 1978122606,   , XRQA,   0,  71S, 1750E,  55,    0, TS
SH, 04, 1978122612,   , XRQA,   0,  76S, 1751E,  60,    0, TS
SH, 04, 1978122618,   , XRQA,   0,  82S, 1753E,  65,    0, TY
SH, 04, 1978122700,   , XRQA,   0,  92S, 1755E,  65,    0, TY
SH, 04, 1978122706,   , XRQA,   0, 100S, 1757E,  55,    0, TS
SH, 04, 1978122712,   , XRQA,   0, 103S, 1758E,  60,    0, TS
SH, 04, 1978122718,   , XRQA,   0, 105S, 1759E,  65,    0, TY
SH, 04, 1978122800,   , XRQA,   0, 108S, 1760E,  65,    0, TY
SH, 04, 1978122806,   , XRQA,   0, 113S, 1761E,  70,    0, TY
SH, 04, 1978122812,   , XRQA,   0, 121S, 1766E,  65,    0, TY
SH, 04, 1978122818,   , XRQA,   0, 131S, 1773E,  70,    0, TY
SH, 04, 1978122900,   , XRQA,   0, 139S, 1779E,  75,    0, TY
SH, 04, 1978122906,   , XRQA,   0, 148S, 1786E,  75,    0, TY
SH, 04, 1978122912,   , XRQA,   0, 162S, 1795E,  85,    0, TY
SH, 04, 1978122918,   , XRQA,   0, 178S, 1795W, 100,    0, TY
SH, 04, 1978123000,   , XRQA,   0, 194S, 1786W,  90,    0, TY
SH, 04, 1978123006,   , XRQA,   0, 212S, 1776W,  75,    0, TY
SH, 04, 1978123012,   , XRQA,   0, 234S, 1768W,  60,    0, TS
SH, 04, 1978123018,   , XRQA,   0, 258S, 1760W,  45,    0, EX
SH, 04, 1978123100,   , XRQA,   0, 284S, 1754W,  40,    0, EX
SH, 04, 1978123106,   , XRQA,   0, 310S, 1751W,  40,    0, EX
SH, 04, 1978123112,   , XRQA,   0, 333S, 1748W,  35,    0, EX
SH, 04, 1978123118,   , XRQA,   0, 356S, 1746W,  35,    0, EX
