SH, 06, 1979010100,   , XRQA,   0,  30S, 1753W,  15,    0, DB
SH, 06, 1979010106,   , XRQA,   0,  32S, 1767W,  15,    0, DB
SH, 06, 1979010112,   , XRQA,   0,  36S, 1780W,  15,    0, DB
SH, 06, 1979010118,   , XRQA,   0,  39S, 1795W,  20,    0, DB
SH, 06, 1979010200,   , XRQA,   0,  42S, 1791E,  20,    0, DB
SH, 06, 1979010206,   , XRQA,   0,  48S, 1781E,  25,    0, MD
SH, 06, 1979010212,   , XRQA,   0,  52S, 1770E,  25,    0, MD
SH, 06, 1979010218,   , XRQA,   0,  51S, 1755E,  30,    0, MD
SH, 06, 1979010300,   , XRQA,   0,  52S, 1742E,  30,    0, TD
SH, 06, 1979010306,   , XRQA,   0,  60S, 1736E,  35,    0, TS
SH, 06, 1979010312,   , XRQA,   0,  68S, 1729E,  40,    0, TS
SH, 06, 1979010318,   , XRQA,   0,  75S, 1721E,  40,    0, TS
SH, 06, 1979010400,   , XRQA,   0,  83S, 1714E,  50,    0, TS
SH, 06, 1979010406,   , XRQA,   0,  93S, 1706E,  60,    0, TS
SH, 06, 1979010412,   , XRQA,   0, 102S, 1698E,  65,    0, TY
SH, 06, 1979010418,   , XRQA,   0, 107S, 1692E,  65,    0, TY
SH, 06, 1979010500,   , XRQA,   0, 111S, 1685E,  65,    0, TY
SH, 06, 1979010506,   , XRQA,   0, 114S, 1679E,  60,    0, TS
SH, 06, 1979010512,   , XRQA,   0, 117S, 1673E,  65,    0, TY
SH, 06, 1979010518,   , XRQA,   0, 122S, 1669E,  80,    0, TY
SH, 06, 1979010600,   , XRQA,   0, 128S, 1666E,  90,    0, TY
SH, 06, 1979010606,   , XRQA,   0, 135S, 1664E, 105,    0, TY
SH, 06, 1979010612,   , XRQA,   0, 142S, 1663E, 115,    0, TY
SH, 06, 1979010618,   , XRQA,   0, 153S, 1661E, 105,    0, TY
SH, 06, 1979010700,   , XRQA,   0, 165S, 1660E, 105,    0, TY
SH, 06, 1979010706,   , XRQA,   0, 175S, 1661E,  90,    0, TY
SH, 06, 1979010712,   , XRQA,   0, 183S, 1660E,  65,    0, TY
SH, 06, 1979010718,   , XRQA,   0, 189S, 1651E,  40,    0, TS
SH, 06, 1979010800,   , XRQA,   0, 191S, 1640E,  30,    0, TD
SH, 06, 1979010806,   , XRQA,   0, 191S, 1632E,  25,    0, TD
SH, 06, 1979010812,   , XRQA,   0, 191S, 1623E,  25,    0, TD
SH, 06, 1979010818,   , XRQA,   0, 193S, 1618E,  25,    0, SD
SH, 06, 1979010900,   , XRQA,   0, 194S, 1604E,  25,    0, SD
SH, 06, 1979010906,   , XRQA,   0, 194S, 1587E,  30,    0, SD
SH, 06, 1979010912,   , XRQA,   0, 193S, 1569E,  30,    0, SD
SH, 06, 1979010918,   , XRQA,   0, 193S, 1554E,  30,    0, SD
SH, 06, 1979011000,   , XRQA,   0, 194S, 1545E,  25,    0, TD
SH, 06, 1979011006,   , XRQA,   0, 193S, 1541E,  25,    0, TD
SH, 06, 1979011012,   , XRQA,   0, 194S, 1538E,  30,    0, TD
SH, 06, 1979011018,   , XRQA,   0, 195S, 1530E,  35,    0, TS
SH, 06, 1979011100,   , XRQA,   0, 197S, 1521E,  30,    0, TD
SH, 06, 1979011106,   , XRQA,   0, 199S, 1509E,  25,    0, TD
SH, 06, 1979011112,   , XRQA,   0, 200S, 1500E,  25,    0, TD
SH, 06, 1979011118,   , XRQA,   0, 203S, 1496E,  25,    0, TD
SH, 06, 1979011200,   , XRQA,   0, 205S, 1485E,  25,    0, TD
SH, 06, 1979011206,   , XRQA,   0, 209S, 1477E,  20,    0, DB
SH, 06, 1979011212,   , XRQA,   0, 213S, 1470E,  15,    0, DB
SH, 06, 1979011218,   , XRQA,   0, 218S, 1465E,  15,    0, DB
