SH, 22, 1979032200,   , XRQA,   0, 125S, 1797W,  15,    0, DB
SH, 22, 1979032206,   , XRQA,   0, 127S, 1794W,  15,    0, DB
SH, 22, 1979032212,   , XRQA,   0, 130S, 1790W,  15,    0, DB
SH, 22, 1979032218,   , XRQA,   0, 135S, 1789W,  20,    0, DB
SH, 22, 1979032300,   , XRQA,   0, 141S, 1785W,  25,    0, TD
SH, 22, 1979032306,   , XRQA,   0, 145S, 1783W,  25,    0, TD
SH, 22, 1979032312,   , XRQA,   0, 146S, 1778W,  30,    0, TD
SH, 22, 1979032318,   , XRQA,   0, 147S, 1771W,  35,    0, TS
SH, 22, 1979032400,   , XRQA,   0, 150S, 1765W,  40,    0, TS
SH, 22, 1979032406,   , XRQA,   0, 151S, 1759W,  50,    0, TS
SH, 22, 1979032412,   , XRQA,   0, 153S, 1753W,  55,    0, TS
SH, 22, 1979032418,   , XRQA,   0, 156S, 1748W,  65,    0, TY
SH, 22, 1979032500,   , XRQA,   0, 159S, 1745W,  55,    0, TS
SH, 22, 1979032506,   , XRQA,   0, 164S, 1744W,  60,    0, TS
SH, 22, 1979032512,   , XRQA,   0, 169S, 1747W,  65,    0, TY
SH, 22, 1979032518,   , XRQA,   0, 172S, 1750W,  75,    0, TY
SH, 22, 1979032600,   , XRQA,   0, 174S, 1756W,  95,    0, TY
SH, 22, 1979032606,   , XRQA,   0, 173S, 1762W, 125,    0, TY
SH, 22, 1979032612,   , XRQA,   0, 173S, 1771W, 145,    0, ST
SH, 22, 1979032618,   , XRQA,   0, 177S, 1781W, 155,    0, ST
SH, 22, 1979032700,   , XRQA,   0, 181S, 1793W, 165,    0, ST
SH, 22, 1979032706,   , XRQA,   0, 182S, 1796E, 170,    0, ST
SH, 22, 1979032712,   , XRQA,   0, 186S, 1785E, 155,    0, ST
SH, 22, 1979032718,   , XRQA,   0, 192S, 1773E, 130,    0, ST
SH, 22, 1979032800,   , XRQA,   0, 200S, 1761E, 120,    0, TY
SH, 22, 1979032806,   , XRQA,   0, 207S, 1753E, 105,    0, TY
SH, 22, 1979032812,   , XRQA,   0, 215S, 1749E, 125,    0, TY
SH, 22, 1979032818,   , XRQA,   0, 224S, 1747E, 110,    0, TY
SH, 22, 1979032900,   , XRQA,   0, 233S, 1749E,  90,    0, TY
SH, 22, 1979032906,   , XRQA,   0, 244S, 1755E,  70,    0, TY
SH, 22, 1979032912,   , XRQA,   0, 256S, 1766E,  65,    0, TY
SH, 22, 1979032918,   , XRQA,   0, 271S, 1784E,  65,    0, TY
SH, 22, 1979033000,   , XRQA,   0, 285S, 1795W,  50,    0, TS
SH, 22, 1979033006,   , XRQA,   0, 297S, 1774W,  40,    0, TS
SH, 22, 1979033012,   , XRQA,   0, 310S, 1750W,  35,    0, EX
SH, 22, 1979033018,   , XRQA,   0, 328S, 1717W,  35,    0, EX
SH, 22, 1979033100,   , XRQA,   0, 350S, 1680W,  35,    0, EX
SH, 22, 1979033106,   , XRQA,   0, 374S, 1641W,  35,    0, EX
SH, 22, 1979033112,   , XRQA,   0, 400S, 1600W,  35,    0, EX
