SH, 27, 1979042606,   , XRQA,   0,  52S,  982E,  15,    0, DB
SH, 27, 1979042612,   , XRQA,   0,  52S,  977E,  15,    0, DB
SH, 27, 1979042618,   , XRQA,   0,  50S,  970E,  15,    0, DB
SH, 27, 1979042700,   , XRQA,   0,  51S,  963E,  20,    0, DB
SH, 27, 1979042706,   , XRQA,   0,  50S,  956E,  20,    0, DB
SH, 27, 1979042712,   , XRQA,   0,  52S,  950E,  25,    0, TD
SH, 27, 1979042718,   , XRQA,   0,  55S,  947E,  25,    0, TD
SH, 27, 1979042800,   , XRQA,   0,  60S,  945E,  30,    0, TD
SH, 27, 1979042806,   , XRQA,   0,  62S,  941E,  35,    0, TS
SH, 27, 1979042812,   , XRQA,   0,  65S,  938E,  30,    0, TD
SH, 27, 1979042818,   , XRQA,   0,  70S,  934E,  30,    0, TD
SH, 27, 1979042900,   , XRQA,   0,  75S,  931E,  25,    0, TD
SH, 27, 1979042906,   , XRQA,   0,  78S,  929E,  25,    0, TD
SH, 27, 1979042912,   , XRQA,   0,  80S,  928E,  25,    0, TD
SH, 27, 1979042918,   , XRQA,   0,  81S,  926E,  20,    0, DB
SH, 27, 1979043000,   , XRQA,   0,  83S,  924E,  20,    0, DB
SH, 27, 1979043006,   , XRQA,   0,  85S,  920E,  25,    0, TD
SH, 27, 1979043012,   , XRQA,   0,  81S,  917E,  30,    0, TD
SH, 27, 1979043018,   , XRQA,   0,  76S,  913E,  35,    0, TS
SH, 27, 1979050100,   , XRQA,   0,  70S,  915E,  30,    0, TD
SH, 27, 1979050106,   , XRQA,   0,  64S,  920E,  25,    0, TD
SH, 27, 1979050112,   , XRQA,   0,  60S,  927E,  25,    0, TD
SH, 27, 1979050118,   , XRQA,   0,  55S,  934E,  25,    0, TD
SH, 27, 1979050200,   , XRQA,   0,  51S,  941E,  30,    0, TD
SH, 27, 1979050206,   , XRQA,   0,  47S,  944E,  35,    0, TS
SH, 27, 1979050212,   , XRQA,   0,  46S,  940E,  45,    0, TS
SH, 27, 1979050218,   , XRQA,   0,  46S,  935E,  45,    0, TS
SH, 27, 1979050300,   , XRQA,   0,  46S,  931E,  50,    0, TS
SH, 27, 1979050306,   , XRQA,   0,  46S,  928E,  60,    0, TS
SH, 27, 1979050312,   , XRQA,   0,  47S,  925E,  55,    0, TS
SH, 27, 1979050318,   , XRQA,   0,  47S,  924E,  45,    0, TS
SH, 27, 1979050400,   , XRQA,   0,  48S,  922E,  50,    0, TS
SH, 27, 1979050406,   , XRQA,   0,  49S,  917E,  55,    0, TS
SH, 27, 1979050412,   , XRQA,   0,  51S,  909E,  50,    0, TS
SH, 27, 1979050418,   , XRQA,   0,  53S,  901E,  50,    0, TS
SH, 27, 1979050500,   , XRQA,   0,  54S,  892E,  55,    0, TS
SH, 27, 1979050506,   , XRQA,   0,  57S,  883E,  45,    0, TS
SH, 27, 1979050512,   , XRQA,   0,  60S,  873E,  50,    0, TS
SH, 27, 1979050518,   , XRQA,   0,  62S,  864E,  60,    0, TS
SH, 27, 1979050600,   , XRQA,   0,  65S,  854E,  60,    0, TS
SH, 27, 1979050606,   , XRQA,   0,  68S,  847E,  65,    0, TY
SH, 27, 1979050612,   , XRQA,   0,  70S,  839E,  65,    0, TY
SH, 27, 1979050618,   , XRQA,   0,  71S,  831E,  70,    0, TY
SH, 27, 1979050700,   , XRQA,   0,  73S,  823E,  60,    0, TS
SH, 27, 1979050706,   , XRQA,   0,  76S,  819E,  50,    0, TS
SH, 27, 1979050712,   , XRQA,   0,  79S,  824E,  35,    0, TS
SH, 27, 1979050718,   , XRQA,   0,  79S,  829E,  30,    0, TD
SH, 27, 1979050800,   , XRQA,   0,  79S,  836E,  25,    0, TD
SH, 27, 1979050806,   , XRQA,   0,  81S,  850E,  25,    0, TD
SH, 27, 1979050812,   , XRQA,   0,  85S,  866E,  25,    0, TD
SH, 27, 1979050818,   , XRQA,   0,  85S,  879E,  30,    0, TD
SH, 27, 1979050900,   , XRQA,   0,  86S,  892E,  35,    0, TS
SH, 27, 1979050906,   , XRQA,   0,  89S,  901E,  35,    0, TS
SH, 27, 1979050912,   , XRQA,   0,  91S,  910E,  40,    0, TS
SH, 27, 1979050918,   , XRQA,   0,  94S,  919E,  30,    0, TD
SH, 27, 1979051000,   , XRQA,   0,  99S,  929E,  25,    0, TD
SH, 27, 1979051006,   , XRQA,   0, 103S,  930E,  25,    0, TD
SH, 27, 1979051012,   , XRQA,   0, 109S,  929E,  25,    0, TD
SH, 27, 1979051018,   , XRQA,   0, 111S,  926E,  20,    0, DB
SH, 27, 1979051100,   , XRQA,   0, 116S,  921E,  20,    0, DB
SH, 27, 1979051106,   , XRQA,   0, 118S,  914E,  20,    0, DB
SH, 27, 1979051112,   , XRQA,   0, 119S,  901E,  25,    0, TD
SH, 27, 1979051118,   , XRQA,   0, 119S,  891E,  25,    0, TD
SH, 27, 1979051200,   , XRQA,   0, 121S,  882E,  25,    0, TD
SH, 27, 1979051206,   , XRQA,   0, 120S,  870E,  20,    0, DB
SH, 27, 1979051212,   , XRQA,   0, 118S,  861E,  20,    0, DB
SH, 27, 1979051218,   , XRQA,   0, 115S,  849E,  20,    0, DB
SH, 27, 1979051300,   , XRQA,   0, 114S,  835E,  15,    0, DB
SH, 27, 1979051306,   , XRQA,   0, 114S,  821E,  15,    0, DB
SH, 27, 1979051312,   , XRQA,   0, 113S,  813E,  15,    0, DB
