WP, 21, 1981091600,   , XRQA,   0, 240N, 1775W,  15,    0, DB
WP, 21, 1981091606,   , XRQA,   0, 241N, 1785W,  15,    0, DB
WP, 21, 1981091612,   , XRQA,   0, 242N, 1795W,  15,    0, DB
WP, 21, 1981091618,   , XRQA,   0, 243N, 1795E,  20,    0, DB
WP, 21, 1981091700,   , XRQA,   0, 243N, 1785E,  20,    0, DB
WP, 21, 1981091706,   , XRQA,   0, 244N, 1775E,  20,    0, DB
WP, 21, 1981091712,   , XRQA,   0, 244N, 1765E,  25,    0, TD
WP, 21, 1981091718,   , XRQA,   0, 245N, 1754E,  30,    0, TD
WP, 21, 1981091800,   , XRQA,   0, 246N, 1741E,  30,    0, TD
WP, 21, 1981091806,   , XRQA,   0, 248N, 1727E,  35,    0, TS
WP, 21, 1981091812,   , XRQA,   0, 250N, 1715E,  35,    0, TS
WP, 21, 1981091818,   , XRQA,   0, 251N, 1700E,  40,    0, TS
WP, 21, 1981091900,   , XRQA,   0, 251N, 1686E,  40,    0, TS
WP, 21, 1981091906,   , XRQA,   0, 254N, 1676E,  45,    0, TS
WP, 21, 1981091912,   , XRQA,   0, 257N, 1668E,  50,    0, TS
WP, 21, 1981091918,   , XRQA,   0, 261N, 1660E,  70,    0, TY
WP, 21, 1981092000,   , XRQA,   0, 265N, 1651E,  80,    0, TY
WP, 21, 1981092006,   , XRQA,   0, 267N, 1642E,  85,    0, TY
WP, 21, 1981092012,   , XRQA,   0, 269N, 1633E,  85,    0, TY
WP, 21, 1981092018,   , XRQA,   0, 270N, 1623E,  95,    0, TY
WP, 21, 1981092100,   , XRQA,   0, 273N, 1615E, 105,    0, TY
WP, 21, 1981092106,   , XRQA,   0, 279N, 1613E, 120,    0, TY
WP, 21, 1981092112,   , XRQA,   0, 285N, 1613E, 120,    0, TY
WP, 21, 1981092118,   , XRQA,   0, 290N, 1618E, 130,    0, ST
WP, 21, 1981092200,   , XRQA,   0, 294N, 1624E, 120,    0, TY
WP, 21, 1981092206,   , XRQA,   0, 299N, 1633E, 120,    0, TY
WP, 21, 1981092212,   , XRQA,   0, 309N, 1645E, 110,    0, TY
WP, 21, 1981092218,   , XRQA,   0, 323N, 1659E, 100,    0, TY
WP, 21, 1981092300,   , XRQA,   0, 338N, 1674E,  90,    0, TY
WP, 21, 1981092306,   , XRQA,   0, 358N, 1696E,  75,    0, TY
WP, 21, 1981092312,   , XRQA,   0, 376N, 1718E,  55,    0, TS
WP, 21, 1981092318,   , XRQA,   0, 387N, 1739E,  65,    0, EX
WP, 21, 1981092400,   , XRQA,   0, 395N, 1750E,  65,    0, EX
WP, 21, 1981092406,   , XRQA,   0, 405N, 1770E,  65,    0, EX
WP, 21, 1981092412,   , XRQA,   0, 420N, 1790E,  65,    0, EX
WP, 21, 1981092418,   , XRQA,   0, 435N, 1780W,  65,    0, EX
