SH, 11, 1982011000,   , XRQA,   0, 131S, 1405E,  15,    0, MD
SH, 11, 1982011006,   , XRQA,   0, 127S, 1409E,  15,    0, MD
SH, 11, 1982011012,   , XRQA,   0, 120S, 1411E,  15,    0, MD
SH, 11, 1982011018,   , XRQA,   0, 115S, 1410E,  15,    0, MD
SH, 11, 1982011100,   , XRQA,   0, 112S, 1404E,  20,    0, MD
SH, 11, 1982011106,   , XRQA,   0, 111S, 1400E,  20,    0, MD
SH, 11, 1982011112,   , XRQA,   0, 110S, 1397E,  15,    0, MD
SH, 11, 1982011118,   , XRQA,   0, 109S, 1393E,  15,    0, MD
SH, 11, 1982011200,   , XRQA,   0, 108S, 1388E,  15,    0, MD
SH, 11, 1982011206,   , XRQA,   0, 107S, 1384E,  20,    0, MD
SH, 11, 1982011212,   , XRQA,   0, 107S, 1380E,  20,    0, MD
SH, 11, 1982011218,   , XRQA,   0, 107S, 1376E,  25,    0, MD
SH, 11, 1982011300,   , XRQA,   0, 107S, 1374E,  25,    0, MD
SH, 11, 1982011306,   , XRQA,   0, 108S, 1372E,  25,    0, MD
SH, 11, 1982011312,   , XRQA,   0, 109S, 1369E,  30,    0, MD
SH, 11, 1982011318,   , XRQA,   0, 110S, 1366E,  35,    0, MD
SH, 11, 1982011400,   , XRQA,   0, 111S, 1360E,  35,    0, MD
SH, 11, 1982011406,   , XRQA,   0, 113S, 1353E,  35,    0, MD
SH, 11, 1982011412,   , XRQA,   0, 116S, 1347E,  35,    0, TS
SH, 11, 1982011418,   , XRQA,   0, 119S, 1337E,  40,    0, TS
SH, 11, 1982011500,   , XRQA,   0, 123S, 1328E,  45,    0, TS
SH, 11, 1982011506,   , XRQA,   0, 128S, 1323E,  40,    0, TS
SH, 11, 1982011512,   , XRQA,   0, 134S, 1314E,  45,    0, TS
SH, 11, 1982011518,   , XRQA,   0, 139S, 1304E,  50,    0, TS
SH, 11, 1982011600,   , XRQA,   0, 143S, 1294E,  40,    0, TS
SH, 11, 1982011606,   , XRQA,   0, 149S, 1283E,  40,    0, TS
SH, 11, 1982011612,   , XRQA,   0, 154S, 1271E,  35,    0, TS
SH, 11, 1982011618,   , XRQA,   0, 161S, 1259E,  40,    0, TS
SH, 11, 1982011700,   , XRQA,   0, 167S, 1248E,  40,    0, TS
SH, 11, 1982011706,   , XRQA,   0, 174S, 1237E,  35,    0, TS
SH, 11, 1982011712,   , XRQA,   0, 183S, 1231E,  40,    0, TS
SH, 11, 1982011718,   , XRQA,   0, 193S, 1216E,  45,    0, TS
SH, 11, 1982011800,   , XRQA,   0, 199S, 1202E,  50,    0, TS
SH, 11, 1982011806,   , XRQA,   0, 203S, 1179E,  40,    0, TS
SH, 11, 1982011812,   , XRQA,   0, 201S, 1161E,  45,    0, TS
SH, 11, 1982011818,   , XRQA,   0, 198S, 1155E,  50,    0, TS
SH, 11, 1982011900,   , XRQA,   0, 203S, 1161E,  50,    0, TS
SH, 11, 1982011906,   , XRQA,   0, 210S, 1158E,  45,    0, TS
SH, 11, 1982011912,   , XRQA,   0, 213S, 1153E,  55,    0, TS
SH, 11, 1982011918,   , XRQA,   0, 217S, 1144E,  75,    0, TY
SH, 11, 1982012000,   , XRQA,   0, 228S, 1138E,  65,    0, TY
SH, 11, 1982012006,   , XRQA,   0, 241S, 1135E,  50,    0, TS
SH, 11, 1982012012,   , XRQA,   0, 254S, 1133E,  45,    0, TS
SH, 11, 1982012018,   , XRQA,   0, 267S, 1132E,  40,    0, TS
SH, 11, 1982012100,   , XRQA,   0, 283S, 1137E,  35,    0, TS
SH, 11, 1982012106,   , XRQA,   0, 299S, 1145E,  35,    0, TS
SH, 11, 1982012112,   , XRQA,   0, 315S, 1156E,  30,    0, TD
SH, 11, 1982012118,   , XRQA,   0, 322S, 1159E,  25,    0, TD
SH, 11, 1982012200,   , XRQA,   0, 327S, 1160E,  25,    0, EX
SH, 11, 1982012206,   , XRQA,   0, 333S, 1161E,  25,    0, EX
SH, 11, 1982012212,   , XRQA,   0, 340S, 1167E,  30,    0, EX
SH, 11, 1982012218,   , XRQA,   0, 347S, 1173E,  30,    0, EX
