SH, 14, 1982012100,   , XRQA,   0, 242S, 1533E,  25,    0, SD
SH, 14, 1982012106,   , XRQA,   0, 249S, 1533E,  25,    0, SD
SH, 14, 1982012112,   , XRQA,   0, 253S, 1535E,  25,    0, SD
SH, 14, 1982012118,   , XRQA,   0, 256S, 1539E,  25,    0, SD
SH, 14, 1982012200,   , XRQA,   0, 257S, 1543E,  25,    0, SD
SH, 14, 1982012206,   , XRQA,   0, 251S, 1550E,  20,    0, DB
SH, 14, 1982012212,   , XRQA,   0, 245S, 1556E,  20,    0, DB
SH, 14, 1982012218,   , XRQA,   0, 238S, 1560E,  20,    0, DB
SH, 14, 1982012300,   , XRQA,   0, 228S, 1561E,  20,    0, DB
SH, 14, 1982012306,   , XRQA,   0, 217S, 1558E,  20,    0, DB
SH, 14, 1982012312,   , XRQA,   0, 205S, 1553E,  25,    0, MD
SH, 14, 1982012318,   , XRQA,   0, 195S, 1548E,  25,    0, MD
SH, 14, 1982012400,   , XRQA,   0, 187S, 1544E,  25,    0, MD
SH, 14, 1982012406,   , XRQA,   0, 179S, 1541E,  25,    0, TD
SH, 14, 1982012412,   , XRQA,   0, 173S, 1538E,  30,    0, TD
SH, 14, 1982012418,   , XRQA,   0, 170S, 1537E,  35,    0, TS
SH, 14, 1982012500,   , XRQA,   0, 171S, 1537E,  30,    0, TD
SH, 14, 1982012506,   , XRQA,   0, 175S, 1539E,  35,    0, TS
SH, 14, 1982012512,   , XRQA,   0, 179S, 1541E,  45,    0, TS
SH, 14, 1982012518,   , XRQA,   0, 181S, 1544E,  50,    0, TS
SH, 14, 1982012600,   , XRQA,   0, 188S, 1549E,  45,    0, TS
SH, 14, 1982012606,   , XRQA,   0, 195S, 1557E,  50,    0, TS
SH, 14, 1982012612,   , XRQA,   0, 198S, 1568E,  65,    0, TY
SH, 14, 1982012618,   , XRQA,   0, 199S, 1578E,  60,    0, TS
SH, 14, 1982012700,   , XRQA,   0, 200S, 1586E,  45,    0, TS
SH, 14, 1982012706,   , XRQA,   0, 203S, 1592E,  45,    0, TS
SH, 14, 1982012712,   , XRQA,   0, 207S, 1598E,  60,    0, TS
SH, 14, 1982012718,   , XRQA,   0, 211S, 1599E,  65,    0, TY
SH, 14, 1982012800,   , XRQA,   0, 214S, 1598E,  60,    0, TS
SH, 14, 1982012806,   , XRQA,   0, 218S, 1597E,  50,    0, TS
SH, 14, 1982012812,   , XRQA,   0, 219S, 1594E,  50,    0, TS
SH, 14, 1982012818,   , XRQA,   0, 219S, 1590E,  55,    0, TS
SH, 14, 1982012900,   , XRQA,   0, 216S, 1583E,  55,    0, TS
SH, 14, 1982012906,   , XRQA,   0, 212S, 1576E,  65,    0, TY
SH, 14, 1982012912,   , XRQA,   0, 204S, 1569E,  65,    0, TY
SH, 14, 1982012918,   , XRQA,   0, 197S, 1566E,  50,    0, TS
SH, 14, 1982013000,   , XRQA,   0, 193S, 1565E,  40,    0, TS
SH, 14, 1982013006,   , XRQA,   0, 190S, 1562E,  50,    0, TS
SH, 14, 1982013012,   , XRQA,   0, 187S, 1562E,  55,    0, TS
SH, 14, 1982013018,   , XRQA,   0, 184S, 1565E,  45,    0, TS
SH, 14, 1982013100,   , XRQA,   0, 179S, 1568E,  35,    0, TS
SH, 14, 1982013106,   , XRQA,   0, 176S, 1572E,  35,    0, TS
SH, 14, 1982013112,   , XRQA,   0, 174S, 1577E,  45,    0, TS
SH, 14, 1982013118,   , XRQA,   0, 174S, 1583E,  50,    0, TS
SH, 14, 1982020100,   , XRQA,   0, 172S, 1589E,  65,    0, TY
SH, 14, 1982020106,   , XRQA,   0, 173S, 1595E,  80,    0, TY
SH, 14, 1982020112,   , XRQA,   0, 174S, 1602E,  85,    0, TY
SH, 14, 1982020118,   , XRQA,   0, 179S, 1609E,  90,    0, TY
SH, 14, 1982020200,   , XRQA,   0, 185S, 1613E,  90,    0, TY
SH, 14, 1982020206,   , XRQA,   0, 191S, 1617E,  85,    0, TY
SH, 14, 1982020212,   , XRQA,   0, 199S, 1620E,  90,    0, TY
SH, 14, 1982020218,   , XRQA,   0, 207S, 1622E,  95,    0, TY
SH, 14, 1982020300,   , XRQA,   0, 215S, 1623E, 105,    0, TY
SH, 14, 1982020306,   , XRQA,   0, 223S, 1624E, 100,    0, TY
SH, 14, 1982020312,   , XRQA,   0, 230S, 1626E,  90,    0, TY
SH, 14, 1982020318,   , XRQA,   0, 238S, 1627E,  70,    0, TY
SH, 14, 1982020400,   , XRQA,   0, 247S, 1630E,  60,    0, TS
SH, 14, 1982020406,   , XRQA,   0, 254S, 1637E,  50,    0, TS
