SH, 19, 1982021100,   , XRQA,   0, 121S, 1043E,  15,    0, DB
SH, 19, 1982021106,   , XRQA,   0, 119S, 1038E,  15,    0, DB
SH, 19, 1982021112,   , XRQA,   0, 118S, 1035E,  20,    0, DB
SH, 19, 1982021118,   , XRQA,   0, 117S, 1039E,  20,    0, DB
SH, 19, 1982021200,   , XRQA,   0, 118S, 1042E,  20,    0, DB
SH, 19, 1982021206,   , XRQA,   0, 119S, 1046E,  20,    0, DB
SH, 19, 1982021212,   , XRQA,   0, 121S, 1051E,  20,    0, DB
SH, 19, 1982021218,   , XRQA,   0, 123S, 1055E,  20,    0, DB
SH, 19, 1982021300,   , XRQA,   0, 124S, 1060E,  25,    0, TD
SH, 19, 1982021306,   , XRQA,   0, 124S, 1066E,  25,    0, TD
SH, 19, 1982021312,   , XRQA,   0, 123S, 1072E,  30,    0, TD
SH, 19, 1982021318,   , XRQA,   0, 122S, 1076E,  35,    0, TS
SH, 19, 1982021400,   , XRQA,   0, 121S, 1080E,  40,    0, TS
SH, 19, 1982021406,   , XRQA,   0, 120S, 1083E,  45,    0, TS
SH, 19, 1982021412,   , XRQA,   0, 120S, 1087E,  50,    0, TS
SH, 19, 1982021418,   , XRQA,   0, 121S, 1093E,  45,    0, TS
SH, 19, 1982021500,   , XRQA,   0, 122S, 1098E,  35,    0, TS
SH, 19, 1982021506,   , XRQA,   0, 124S, 1104E,  30,    0, TD
SH, 19, 1982021512,   , XRQA,   0, 127S, 1109E,  30,    0, TD
SH, 19, 1982021518,   , XRQA,   0, 131S, 1113E,  40,    0, TS
SH, 19, 1982021600,   , XRQA,   0, 135S, 1115E,  45,    0, TS
SH, 19, 1982021606,   , XRQA,   0, 139S, 1117E,  50,    0, TS
SH, 19, 1982021612,   , XRQA,   0, 141S, 1117E,  45,    0, TS
SH, 19, 1982021618,   , XRQA,   0, 145S, 1114E,  50,    0, TS
SH, 19, 1982021700,   , XRQA,   0, 146S, 1110E,  45,    0, TS
SH, 19, 1982021706,   , XRQA,   0, 146S, 1106E,  40,    0, TS
SH, 19, 1982021712,   , XRQA,   0, 144S, 1103E,  30,    0, TD
SH, 19, 1982021718,   , XRQA,   0, 142S, 1101E,  30,    0, TD
SH, 19, 1982021800,   , XRQA,   0, 138S, 1100E,  25,    0, TD
SH, 19, 1982021806,   , XRQA,   0, 136S, 1104E,  25,    0, TD
SH, 19, 1982021812,   , XRQA,   0, 137S, 1107E,  25,    0, TD
SH, 19, 1982021818,   , XRQA,   0, 141S, 1106E,  20,    0, DB
SH, 19, 1982021900,   , XRQA,   0, 140S, 1102E,  20,    0, DB
SH, 19, 1982021906,   , XRQA,   0, 135S, 1100E,  20,    0, DB
SH, 19, 1982021912,   , XRQA,   0, 131S, 1100E,  25,    0, TD
SH, 19, 1982021918,   , XRQA,   0, 127S, 1099E,  25,    0, TD
SH, 19, 1982022000,   , XRQA,   0, 125S, 1093E,  25,    0, TD
SH, 19, 1982022006,   , XRQA,   0, 124S, 1086E,  20,    0, DB
SH, 19, 1982022012,   , XRQA,   0, 123S, 1080E,  20,    0, DB
SH, 19, 1982022018,   , XRQA,   0, 122S, 1073E,  15,    0, DB
SH, 19, 1982022100,   , XRQA,   0, 121S, 1063E,  15,    0, DB
