SH, 20, 1982022106,   , XRQA,   0, 194S,  369E,  15,    0, DB
SH, 20, 1982022112,   , XRQA,   0, 200S,  364E,  15,    0, DB
SH, 20, 1982022118,   , XRQA,   0, 208S,  361E,  20,    0, DB
SH, 20, 1982022200,   , XRQA,   0, 214S,  360E,  25,    0, TD
SH, 20, 1982022206,   , XRQA,   0, 220S,  360E,  25,    0, TD
SH, 20, 1982022212,   , XRQA,   0, 226S,  362E,  30,    0, TD
SH, 20, 1982022218,   , XRQA,   0, 235S,  366E,  40,    0, TS
SH, 20, 1982022300,   , XRQA,   0, 241S,  374E,  40,    0, TS
SH, 20, 1982022306,   , XRQA,   0, 244S,  387E,  50,    0, TS
SH, 20, 1982022312,   , XRQA,   0, 247S,  400E,  55,    0, TS
SH, 20, 1982022318,   , XRQA,   0, 254S,  411E,  45,    0, TS
SH, 20, 1982022400,   , XRQA,   0, 265S,  422E,  55,    0, TS
SH, 20, 1982022406,   , XRQA,   0, 279S,  433E,  50,    0, TS
SH, 20, 1982022412,   , XRQA,   0, 293S,  444E,  40,    0, TS
SH, 20, 1982022418,   , XRQA,   0, 303S,  454E,  35,    0, EX
SH, 20, 1982022500,   , XRQA,   0, 313S,  463E,  35,    0, EX
SH, 20, 1982022506,   , XRQA,   0, 325S,  475E,  35,    0, EX
SH, 20, 1982022512,   , XRQA,   0, 337S,  488E,  35,    0, EX
SH, 20, 1982022518,   , XRQA,   0, 350S,  510E,  35,    0, EX
SH, 20, 1982022600,   , XRQA,   0, 377S,  547E,  35,    0, EX
SH, 20, 1982022606,   , XRQA,   0, 395S,  580E,  35,    0, EX
