SH, 61, 1982012906,   , XRQA,   0, 214S,  434E,  15,    0, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,    ,   0,   0,      FRIDA, S,
SH, 61, 1982012912,   , XRQA,   0, 211S,  430E,  15,    0, DB
SH, 61, 1982012918,   , XRQA,   0, 207S,  429E,  15,    0, DB
SH, 61, 1982013000,   , XRQA,   0, 200S,  434E,  15,    0, DB
SH, 61, 1982013006,   , XRQA,   0, 197S,  437E,  20,    0, DB
SH, 61, 1982013012,   , XRQA,   0, 196S,  445E,  20,    0, DB
SH, 61, 1982013018,   , XRQA,   0, 197S,  455E,  20,    0, DB
SH, 61, 1982013100,   , XRQA,   0, 200S,  468E,  20,    0, DB
SH, 61, 1982013106,   , XRQA,   0, 205S,  480E,  20,    0, DB
SH, 61, 1982013112,   , XRQA,   0, 206S,  484E,  25,    0, TD
SH, 61, 1982013118,   , XRQA,   0, 208S,  489E,  30,    0, TD
SH, 61, 1982020100,   , XRQA,   0, 212S,  491E,  35,    0, TS
SH, 61, 1982020106,   , XRQA,   0, 220S,  488E,  35,    0, TS
SH, 61, 1982020112,   , XRQA,   0, 227S,  483E,  30,    0, TD
SH, 61, 1982020118,   , XRQA,   0, 233S,  474E,  25,    0, TD
SH, 61, 1982020200,   , XRQA,   0, 237S,  460E,  25,    0, TD
SH, 61, 1982020206,   , XRQA,   0, 240S,  446E,  20,    0, DB
SH, 61, 1982020212,   , XRQA,   0, 237S,  435E,  20,    0, DB
SH, 61, 1982020218,   , XRQA,   0, 234S,  425E,  15,    0, DB
SH, 61, 1982020300,   , XRQA,   0, 230S,  420E,  15,    0, DB
SH, 61, 1982020306,   , XRQA,   0, 225S,  417E,  15,    0, DB
