SH, 64, 1982021000,   , XRQA,   0, 127S,  786E,  15,    0, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,    ,   0,   0,    HEBERTE, S,
SH, 64, 1982021006,   , XRQA,   0, 127S,  778E,  15,    0, DB
SH, 64, 1982021012,   , XRQA,   0, 124S,  770E,  15,    0, DB
SH, 64, 1982021018,   , XRQA,   0, 122S,  764E,  20,    0, DB
SH, 64, 1982021100,   , XRQA,   0, 119S,  758E,  20,    0, DB
SH, 64, 1982021106,   , XRQA,   0, 116S,  752E,  25,    0, TD
SH, 64, 1982021112,   , XRQA,   0, 117S,  745E,  30,    0, TD
SH, 64, 1982021118,   , XRQA,   0, 120S,  741E,  35,    0, TS
SH, 64, 1982021200,   , XRQA,   0, 121S,  735E,  40,    0, TS
SH, 64, 1982021206,   , XRQA,   0, 127S,  731E,  45,    0, TS
SH, 64, 1982021212,   , XRQA,   0, 135S,  728E,  55,    0, TS
SH, 64, 1982021218,   , XRQA,   0, 142S,  727E,  65,    0, TY
SH, 64, 1982021300,   , XRQA,   0, 149S,  730E,  65,    0, TY
SH, 64, 1982021306,   , XRQA,   0, 157S,  735E,  55,    0, TS
SH, 64, 1982021312,   , XRQA,   0, 154S,  739E,  45,    0, TS
SH, 64, 1982021318,   , XRQA,   0, 149S,  743E,  45,    0, TS
SH, 64, 1982021400,   , XRQA,   0, 144S,  741E,  35,    0, TS
SH, 64, 1982021406,   , XRQA,   0, 140S,  738E,  30,    0, TD
SH, 64, 1982021412,   , XRQA,   0, 138S,  735E,  30,    0, TD
SH, 64, 1982021418,   , XRQA,   0, 135S,  731E,  25,    0, TD
SH, 64, 1982021500,   , XRQA,   0, 134S,  723E,  25,    0, TD
SH, 64, 1982021506,   , XRQA,   0, 132S,  713E,  25,    0, TD
SH, 64, 1982021512,   , XRQA,   0, 130S,  700E,  25,    0, TD
SH, 64, 1982021518,   , XRQA,   0, 129S,  687E,  20,    0, DB
SH, 64, 1982021600,   , XRQA,   0, 129S,  675E,  20,    0, DB
SH, 64, 1982021606,   , XRQA,   0, 131S,  661E,  15,    0, DB
SH, 64, 1982021612,   , XRQA,   0, 131S,  647E,  15,    0, DB
