CP, 02, 1984082900,   , XRQA,   0, 298N, 1743E,  15,    0, DB
CP, 02, 1984082906,   , XRQA,   0, 292N, 1747E,  15,    0, DB
CP, 02, 1984082912,   , XRQA,   0, 285N, 1750E,  15,    0, DB
CP, 02, 1984082918,   , XRQA,   0, 278N, 1753E,  15,    0, DB
CP, 02, 1984083000,   , XRQA,   0, 270N, 1757E,  15,    0, DB
CP, 02, 1984083006,   , XRQA,   0, 262N, 1760E,  15,    0, DB
CP, 02, 1984083012,   , XRQA,   0, 255N, 1762E,  20,    0, DB
CP, 02, 1984083018,   , XRQA,   0, 252N, 1764E,  20,    0, DB
CP, 02, 1984083100,   , XRQA,   0, 249N, 1767E,  20,    0, DB
CP, 02, 1984083106,   , XRQA,   0, 251N, 1770E,  20,    0, DB
CP, 02, 1984083112,   , XRQA,   0, 253N, 1774E,  20,    0, DB
CP, 02, 1984083118,   , XRQA,   0, 255N, 1778E,  20,    0, DB
CP, 02, 1984090100,   , XRQA,   0, 257N, 1776E,  25,    0, TD
CP, 02, 1984090106,   , XRQA,   0, 259N, 1773E,  25,    0, TD
CP, 02, 1984090112,   , XRQA,   0, 261N, 1770E,  25,    0, TD
CP, 02, 1984090118,   , XRQA,   0, 262N, 1767E,  30,    0, TD
CP, 02, 1984090200,   , XRQA,   0, 265N, 1769E,  30,    0, TD
CP, 02, 1984090206,   , XRQA,   0, 268N, 1773E,  35,    0, TS
CP, 02, 1984090212,   , XRQA,   0, 270N, 1778E,  40,    0, TS
CP, 02, 1984090218,   , XRQA,   0, 273N, 1783E,  40,    0, TS
CP, 02, 1984090300,   , XRQA,   0, 276N, 1789E,  45,    0, TS
CP, 02, 1984090306,   , XRQA,   0, 279N, 1794E,  40,    0, TS
CP, 02, 1984090312,   , XRQA,   0, 282N, 1799E,  45,    0, TS
CP, 02, 1984090318,   , XRQA,   0, 284N, 1795W,  50,    0, TS
CP, 02, 1984090400,   , XRQA,   0, 288N, 1788W,  50,    0, TS
CP, 02, 1984090406,   , XRQA,   0, 295N, 1786W,  45,    0, TS
CP, 02, 1984090412,   , XRQA,   0, 304N, 1783W,  40,    0, TS
CP, 02, 1984090418,   , XRQA,   0, 314N, 1780W,  40,    0, TS
CP, 02, 1984090500,   , XRQA,   0, 325N, 1775W,  35,    0, TS
CP, 02, 1984090506,   , XRQA,   0, 337N, 1770W,  35,    0, EX
CP, 02, 1984090512,   , XRQA,   0, 350N, 1765W,  35,    0, EX
CP, 02, 1984090518,   , XRQA,   0, 370N, 1760W,  35,    0, EX
CP, 02, 1984090600,   , XRQA,   0, 400N, 1755W,  35,    0, EX
CP, 02, 1984090606,   , XRQA,   0, 440N, 1745W,  35,    0, EX
