WP, 27, 1984102800,   , XRQA,   0,   1N, 1485E,  15,    0, DB
WP, 27, 1984102806,   , XRQA,   0,   3N, 1484E,  15,    0, DB
WP, 27, 1984102812,   , XRQA,   0,   5N, 1483E,  15,    0, DB
WP, 27, 1984102818,   , XRQA,   0,   7N, 1482E,  15,    0, DB
WP, 27, 1984102900,   , XRQA,   0,  10N, 1480E,  15,    0, DB
WP, 27, 1984102906,   , XRQA,   0,  13N, 1477E,  15,    0, DB
WP, 27, 1984102912,   , XRQA,   0,  17N, 1474E,  20,    0, DB
WP, 27, 1984102918,   , XRQA,   0,  20N, 1471E,  20,    0, DB
WP, 27, 1984103000,   , XRQA,   0,  23N, 1468E,  20,    0, DB
WP, 27, 1984103006,   , XRQA,   0,  27N, 1464E,  20,    0, DB
WP, 27, 1984103012,   , XRQA,   0,  30N, 1461E,  20,    0, DB
WP, 27, 1984103018,   , XRQA,   0,  33N, 1458E,  20,    0, DB
WP, 27, 1984103100,   , XRQA,   0,  36N, 1456E,  25,    0, TD
WP, 27, 1984103106,   , XRQA,   0,  39N, 1453E,  25,    0, TD
WP, 27, 1984103112,   , XRQA,   0,  44N, 1449E,  30,    0, TD
WP, 27, 1984103118,   , XRQA,   0,  49N, 1445E,  30,    0, TD
WP, 27, 1984110100,   , XRQA,   0,  54N, 1439E,  35,    0, TS
WP, 27, 1984110106,   , XRQA,   0,  59N, 1429E,  45,    0, TS
WP, 27, 1984110112,   , XRQA,   0,  67N, 1418E,  65,    0, TY
WP, 27, 1984110118,   , XRQA,   0,  73N, 1405E,  65,    0, TY
WP, 27, 1984110200,   , XRQA,   0,  78N, 1394E,  70,    0, TY
WP, 27, 1984110206,   , XRQA,   0,  82N, 1383E,  75,    0, TY
WP, 27, 1984110212,   , XRQA,   0,  86N, 1373E,  85,    0, TY
WP, 27, 1984110218,   , XRQA,   0,  88N, 1363E, 100,    0, TY
WP, 27, 1984110300,   , XRQA,   0,  91N, 1352E, 100,    0, TY
WP, 27, 1984110306,   , XRQA,   0,  93N, 1340E, 115,    0, TY
WP, 27, 1984110312,   , XRQA,   0,  96N, 1326E, 130,    0, ST
WP, 27, 1984110318,   , XRQA,   0,  98N, 1314E, 120,    0, TY
WP, 27, 1984110400,   , XRQA,   0, 100N, 1301E, 135,    0, ST
WP, 27, 1984110406,   , XRQA,   0, 105N, 1288E, 125,    0, TY
WP, 27, 1984110412,   , XRQA,   0, 108N, 1274E, 140,    0, ST
WP, 27, 1984110418,   , XRQA,   0, 112N, 1258E, 130,    0, ST
WP, 27, 1984110500,   , XRQA,   0, 115N, 1240E,  95,    0, TY
WP, 27, 1984110506,   , XRQA,   0, 116N, 1224E,  90,    0, TY
WP, 27, 1984110512,   , XRQA,   0, 118N, 1209E,  80,    0, TY
WP, 27, 1984110518,   , XRQA,   0, 120N, 1193E,  85,    0, TY
WP, 27, 1984110600,   , XRQA,   0, 122N, 1176E,  90,    0, TY
WP, 27, 1984110606,   , XRQA,   0, 126N, 1158E,  95,    0, TY
WP, 27, 1984110612,   , XRQA,   0, 129N, 1140E,  90,    0, TY
WP, 27, 1984110618,   , XRQA,   0, 133N, 1125E,  95,    0, TY
WP, 27, 1984110700,   , XRQA,   0, 137N, 1113E, 105,    0, TY
WP, 27, 1984110706,   , XRQA,   0, 139N, 1102E, 110,    0, TY
WP, 27, 1984110712,   , XRQA,   0, 142N, 1089E,  90,    0, TY
WP, 27, 1984110718,   , XRQA,   0, 144N, 1078E,  40,    0, TS
WP, 27, 1984110800,   , XRQA,   0, 149N, 1064E,  30,    0, TD
WP, 27, 1984110806,   , XRQA,   0, 155N, 1052E,  30,    0, TD
WP, 27, 1984110812,   , XRQA,   0, 159N, 1042E,  25,    0, TD
WP, 27, 1984110818,   , XRQA,   0, 165N, 1034E,  25,    0, TD
WP, 27, 1984110900,   , XRQA,   0, 171N, 1026E,  20,    0, DB
WP, 27, 1984110906,   , XRQA,   0, 177N, 1018E,  20,    0, DB
WP, 27, 1984110912,   , XRQA,   0, 183N, 1010E,  15,    0, DB
WP, 27, 1984110918,   , XRQA,   0, 188N, 1002E,  15,    0, DB
