EP, 07, 1986080200,   , XRQA,   0,  90N, 1260W,  20,    0, DB
EP, 07, 1986080206,   , XRQA,   0,  89N, 1281W,  20,    0, DB
EP, 07, 1986080212,   , XRQA,   0,  89N, 1298W,  30,    0, TD
EP, 07, 1986080218,   , XRQA,   0,  89N, 1309W,  30,    0, TD
EP, 07, 1986080300,   , XRQA,   0,  90N, 1326W,  40,    0, TS
EP, 07, 1986080306,   , XRQA,   0,  90N, 1345W,  35,    0, TS
EP, 07, 1986080312,   , XRQA,   0,  89N, 1364W,  30,    0, TD
EP, 07, 1986080318,   , XRQA,   0,  89N, 1380W,  35,    0, TS
EP, 07, 1986080400,   , XRQA,   0,  88N, 1400W,  35,    0, TS
EP, 07, 1986080406,   , XRQA,   0,  87N, 1426W,  40,    0, TS
EP, 07, 1986080412,   , XRQA,   0,  87N, 1455W,  35,    0, TS
EP, 07, 1986080418,   , XRQA,   0,  89N, 1489W,  30,    0, TD
EP, 07, 1986080500,   , XRQA,   0,  96N, 1516W,  25,    0, TD
EP, 07, 1986080506,   , XRQA,   0, 103N, 1540W,  25,    0, TD
EP, 07, 1986080512,   , XRQA,   0, 110N, 1562W,  20,    0, DB
EP, 07, 1986080518,   , XRQA,   0, 112N, 1586W,  20,    0, DB
EP, 07, 1986080600,   , XRQA,   0, 108N, 1609W,  20,    0, DB
EP, 07, 1986080606,   , XRQA,   0, 103N, 1629W,  20,    0, DB
EP, 07, 1986080612,   , XRQA,   0,  99N, 1650W,  20,    0, DB
EP, 07, 1986080618,   , XRQA,   0,  96N, 1675W,  25,    0, TD
EP, 07, 1986080700,   , XRQA,   0,  96N, 1700W,  25,    0, TD
EP, 07, 1986080706,   , XRQA,   0, 100N, 1721W,  30,    0, TD
EP, 07, 1986080712,   , XRQA,   0, 106N, 1740W,  30,    0, TD
EP, 07, 1986080718,   , XRQA,   0, 110N, 1759W,  30,    0, TD
EP, 07, 1986080800,   , XRQA,   0, 115N, 1776W,  30,    0, TD
EP, 07, 1986080806,   , XRQA,   0, 125N, 1790W,  30,    0, TD
EP, 07, 1986080812,   , XRQA,   0, 136N, 1799E,  35,    0, TS
EP, 07, 1986080818,   , XRQA,   0, 139N, 1788E,  40,    0, TS
EP, 07, 1986080900,   , XRQA,   0, 142N, 1774E,  40,    0, TS
EP, 07, 1986080906,   , XRQA,   0, 145N, 1763E,  45,    0, TS
EP, 07, 1986080912,   , XRQA,   0, 150N, 1752E,  50,    0, TS
EP, 07, 1986080918,   , XRQA,   0, 151N, 1738E,  60,    0, TS
EP, 07, 1986081000,   , XRQA,   0, 153N, 1726E,  50,    0, TS
EP, 07, 1986081006,   , XRQA,   0, 155N, 1718E,  65,    0, TY
EP, 07, 1986081012,   , XRQA,   0, 156N, 1710E,  75,    0, TY
EP, 07, 1986081018,   , XRQA,   0, 157N, 1704E,  90,    0, TY
EP, 07, 1986081100,   , XRQA,   0, 159N, 1699E,  80,    0, TY
EP, 07, 1986081106,   , XRQA,   0, 160N, 1696E,  70,    0, TY
EP, 07, 1986081112,   , XRQA,   0, 161N, 1694E,  60,    0, TS
EP, 07, 1986081118,   , XRQA,   0, 164N, 1694E,  75,    0, TY
EP, 07, 1986081200,   , XRQA,   0, 167N, 1694E,  85,    0, TY
EP, 07, 1986081206,   , XRQA,   0, 171N, 1690E,  70,    0, TY
EP, 07, 1986081212,   , XRQA,   0, 176N, 1684E,  50,    0, TS
EP, 07, 1986081218,   , XRQA,   0, 182N, 1679E,  30,    0, TD
EP, 07, 1986081300,   , XRQA,   0, 190N, 1672E,  30,    0, TD
EP, 07, 1986081306,   , XRQA,   0, 198N, 1659E,  30,    0, TD
EP, 07, 1986081312,   , XRQA,   0, 205N, 1641E,  30,    0, TD
EP, 07, 1986081318,   , XRQA,   0, 209N, 1622E,  25,    0, TD
EP, 07, 1986081400,   , XRQA,   0, 213N, 1600E,  30,    0, TD
EP, 07, 1986081406,   , XRQA,   0, 221N, 1576E,  30,    0, TD
EP, 07, 1986081412,   , XRQA,   0, 226N, 1549E,  35,    0, TS
EP, 07, 1986081418,   , XRQA,   0, 217N, 1522E,  35,    0, TS
EP, 07, 1986081500,   , XRQA,   0, 200N, 1520E,  30,    0, TD
EP, 07, 1986081506,   , XRQA,   0, 190N, 1532E,  25,    0, TD
EP, 07, 1986081512,   , XRQA,   0, 192N, 1556E,  25,    0, TD
EP, 07, 1986081518,   , XRQA,   0, 202N, 1571E,  20,    0, DB
EP, 07, 1986081600,   , XRQA,   0, 216N, 1580E,  20,    0, DB
EP, 07, 1986081606,   , XRQA,   0, 231N, 1580E,  20,    0, DB
EP, 07, 1986081612,   , XRQA,   0, 249N, 1569E,  15,    0, DB
EP, 07, 1986081618,   , XRQA,   0, 268N, 1552E,  15,    0, DB
