WP, 07, 1987071812,   , XRQA,   0,  44N, 1690W,  25,    0, TD
WP, 07, 1987071818,   , XRQA,   0,  44N, 1702W,  25,    0, TD
WP, 07, 1987071900,   , XRQA,   0,  44N, 1714W,  25,    0, TD
WP, 07, 1987071906,   , XRQA,   0,  44N, 1724W,  25,    0, TD
WP, 07, 1987071912,   , XRQA,   0,  44N, 1741W,  25,    0, TD
WP, 07, 1987071918,   , XRQA,   0,  43N, 1756W,  30,    0, TD
WP, 07, 1987072000,   , XRQA,   0,  43N, 1773W,  40,    0, TS
WP, 07, 1987072006,   , XRQA,   0,  42N, 1792W,  30,    0, TD
WP, 07, 1987072012,   , XRQA,   0,  43N, 1789E,  30,    0, TD
WP, 07, 1987072018,   , XRQA,   0,  45N, 1771E,  30,    0, TD
WP, 07, 1987072100,   , XRQA,   0,  52N, 1759E,  35,    0, TS
WP, 07, 1987072106,   , XRQA,   0,  62N, 1748E,  40,    0, TS
WP, 07, 1987072112,   , XRQA,   0,  73N, 1735E,  45,    0, TS
WP, 07, 1987072118,   , XRQA,   0,  82N, 1720E,  50,    0, TS
WP, 07, 1987072200,   , XRQA,   0,  91N, 1704E,  50,    0, TS
WP, 07, 1987072206,   , XRQA,   0,  98N, 1690E,  50,    0, TS
WP, 07, 1987072212,   , XRQA,   0, 104N, 1675E,  45,    0, TS
WP, 07, 1987072218,   , XRQA,   0, 106N, 1657E,  50,    0, TS
WP, 07, 1987072300,   , XRQA,   0, 107N, 1641E,  50,    0, TS
WP, 07, 1987072306,   , XRQA,   0, 107N, 1624E,  55,    0, TS
WP, 07, 1987072312,   , XRQA,   0, 110N, 1607E,  55,    0, TS
WP, 07, 1987072318,   , XRQA,   0, 115N, 1591E,  60,    0, TS
WP, 07, 1987072400,   , XRQA,   0, 121N, 1576E,  65,    0, TY
WP, 07, 1987072406,   , XRQA,   0, 130N, 1562E,  85,    0, TY
WP, 07, 1987072412,   , XRQA,   0, 136N, 1545E, 100,    0, TY
WP, 07, 1987072418,   , XRQA,   0, 143N, 1529E, 125,    0, TY
WP, 07, 1987072500,   , XRQA,   0, 150N, 1513E, 120,    0, TY
WP, 07, 1987072506,   , XRQA,   0, 157N, 1497E, 115,    0, TY
WP, 07, 1987072512,   , XRQA,   0, 164N, 1483E, 105,    0, TY
WP, 07, 1987072518,   , XRQA,   0, 172N, 1466E, 130,    0, ST
WP, 07, 1987072600,   , XRQA,   0, 178N, 1450E, 145,    0, ST
WP, 07, 1987072606,   , XRQA,   0, 184N, 1436E, 140,    0, ST
WP, 07, 1987072612,   , XRQA,   0, 190N, 1421E, 145,    0, ST
WP, 07, 1987072618,   , XRQA,   0, 195N, 1406E, 130,    0, ST
WP, 07, 1987072700,   , XRQA,   0, 201N, 1392E, 120,    0, TY
WP, 07, 1987072706,   , XRQA,   0, 207N, 1381E, 110,    0, TY
WP, 07, 1987072712,   , XRQA,   0, 214N, 1369E, 105,    0, TY
WP, 07, 1987072718,   , XRQA,   0, 221N, 1359E, 135,    0, ST
WP, 07, 1987072800,   , XRQA,   0, 228N, 1349E, 145,    0, ST
WP, 07, 1987072806,   , XRQA,   0, 236N, 1341E, 140,    0, ST
WP, 07, 1987072812,   , XRQA,   0, 245N, 1334E, 125,    0, TY
WP, 07, 1987072818,   , XRQA,   0, 257N, 1328E, 105,    0, TY
WP, 07, 1987072900,   , XRQA,   0, 268N, 1323E,  90,    0, TY
WP, 07, 1987072906,   , XRQA,   0, 278N, 1322E,  70,    0, TY
WP, 07, 1987072912,   , XRQA,   0, 291N, 1324E,  45,    0, TS
WP, 07, 1987072918,   , XRQA,   0, 304N, 1332E,  35,    0, TS
WP, 07, 1987073000,   , XRQA,   0, 315N, 1342E,  35,    0, TS
WP, 07, 1987073006,   , XRQA,   0, 321N, 1359E,  40,    0, TS
WP, 07, 1987073012,   , XRQA,   0, 324N, 1380E,  50,    0, TS
WP, 07, 1987073018,   , XRQA,   0, 323N, 1402E,  55,    0, TS
WP, 07, 1987073100,   , XRQA,   0, 323N, 1430E,  50,    0, TS
WP, 07, 1987073106,   , XRQA,   0, 324N, 1452E,  50,    0, TS
WP, 07, 1987073112,   , XRQA,   0, 326N, 1476E,  45,    0, TS
WP, 07, 1987073118,   , XRQA,   0, 330N, 1498E,  50,    0, TS
WP, 07, 1987080100,   , XRQA,   0, 337N, 1517E,  50,    0, TS
WP, 07, 1987080106,   , XRQA,   0, 347N, 1532E,  65,    0, TY
WP, 07, 1987080112,   , XRQA,   0, 357N, 1543E,  50,    0, TS
WP, 07, 1987080118,   , XRQA,   0, 369N, 1552E,  40,    0, TS
WP, 07, 1987080200,   , XRQA,   0, 380N, 1560E,  40,    0, TS
WP, 07, 1987080206,   , XRQA,   0, 395N, 1575E,  40,    0, EX
WP, 07, 1987080212,   , XRQA,   0, 410N, 1600E,  40,    0, EX
WP, 07, 1987080218,   , XRQA,   0, 430N, 1620E,  40,    0, EX
WP, 07, 1987080300,   , XRQA,   0, 450N, 1650E,  40,    0, EX
WP, 07, 1987080306,   , XRQA,   0, 470N, 1680E,  40,    0, EX
WP, 07, 1987080312,   , XRQA,   0, 490N, 1720E,  40,    0, EX
WP, 07, 1987080318,   , XRQA,   0, 505N, 1765E,  40,    0, EX
WP, 07, 1987080400,   , XRQA,   0, 520N, 1790W,  50,    0, EX
