WP, 16, 1987092100,   , XRQA,   0, 100N, 1697W,  25,    0, TD
WP, 16, 1987092106,   , XRQA,   0,  99N, 1707W,  30,    0, TD
WP, 16, 1987092112,   , XRQA,   0, 100N, 1718W,  30,    0, TD
WP, 16, 1987092118,   , XRQA,   0, 103N, 1730W,  35,    0, TS
WP, 16, 1987092200,   , XRQA,   0, 106N, 1741W,  50,    0, TS
WP, 16, 1987092206,   , XRQA,   0, 107N, 1750W,  55,    0, TS
WP, 16, 1987092212,   , XRQA,   0, 112N, 1756W,  55,    0, TS
WP, 16, 1987092218,   , XRQA,   0, 118N, 1761W,  60,    0, TS
WP, 16, 1987092300,   , XRQA,   0, 124N, 1767W,  65,    0, TY
WP, 16, 1987092306,   , XRQA,   0, 133N, 1770W,  65,    0, TY
WP, 16, 1987092312,   , XRQA,   0, 142N, 1773W,  75,    0, TY
WP, 16, 1987092318,   , XRQA,   0, 150N, 1774W, 110,    0, TY
WP, 16, 1987092400,   , XRQA,   0, 159N, 1775W, 115,    0, TY
WP, 16, 1987092406,   , XRQA,   0, 163N, 1775W, 125,    0, TY
WP, 16, 1987092412,   , XRQA,   0, 165N, 1777W, 110,    0, TY
WP, 16, 1987092418,   , XRQA,   0, 168N, 1779W,  95,    0, TY
WP, 16, 1987092500,   , XRQA,   0, 170N, 1780W,  95,    0, TY
WP, 16, 1987092506,   , XRQA,   0, 173N, 1781W,  95,    0, TY
WP, 16, 1987092512,   , XRQA,   0, 176N, 1782W, 100,    0, TY
WP, 16, 1987092518,   , XRQA,   0, 179N, 1782W,  95,    0, TY
WP, 16, 1987092600,   , XRQA,   0, 182N, 1782W,  95,    0, TY
WP, 16, 1987092606,   , XRQA,   0, 188N, 1782W, 105,    0, TY
WP, 16, 1987092612,   , XRQA,   0, 195N, 1781W, 105,    0, TY
WP, 16, 1987092618,   , XRQA,   0, 204N, 1780W, 110,    0, TY
WP, 16, 1987092700,   , XRQA,   0, 214N, 1781W, 110,    0, TY
WP, 16, 1987092706,   , XRQA,   0, 223N, 1783W, 105,    0, TY
WP, 16, 1987092712,   , XRQA,   0, 231N, 1787W,  95,    0, TY
WP, 16, 1987092718,   , XRQA,   0, 233N, 1792W,  95,    0, TY
WP, 16, 1987092800,   , XRQA,   0, 235N, 1796W, 100,    0, TY
WP, 16, 1987092806,   , XRQA,   0, 240N, 1800E,  90,    0, TY
WP, 16, 1987092812,   , XRQA,   0, 244N, 1798E,  85,    0, TY
WP, 16, 1987092818,   , XRQA,   0, 248N, 1784E,  95,    0, TY
WP, 16, 1987092900,   , XRQA,   0, 252N, 1771E, 100,    0, TY
WP, 16, 1987092906,   , XRQA,   0, 257N, 1758E, 110,    0, TY
WP, 16, 1987092912,   , XRQA,   0, 264N, 1744E, 105,    0, TY
WP, 16, 1987092918,   , XRQA,   0, 273N, 1731E, 110,    0, TY
WP, 16, 1987093000,   , XRQA,   0, 283N, 1719E, 110,    0, TY
WP, 16, 1987093006,   , XRQA,   0, 293N, 1708E, 105,    0, TY
WP, 16, 1987093012,   , XRQA,   0, 303N, 1699E,  80,    0, TY
WP, 16, 1987093018,   , XRQA,   0, 311N, 1695E,  75,    0, TY
WP, 16, 1987100100,   , XRQA,   0, 316N, 1693E,  80,    0, TY
WP, 16, 1987100106,   , XRQA,   0, 319N, 1692E,  75,    0, TY
WP, 16, 1987100112,   , XRQA,   0, 317N, 1695E,  50,    0, TS
WP, 16, 1987100118,   , XRQA,   0, 315N, 1698E,  50,    0, TS
WP, 16, 1987100200,   , XRQA,   0, 311N, 1701E,  40,    0, TS
WP, 16, 1987100206,   , XRQA,   0, 306N, 1709E,  45,    0, TS
WP, 16, 1987100212,   , XRQA,   0, 302N, 1716E,  35,    0, TS
WP, 16, 1987100218,   , XRQA,   0, 298N, 1722E,  40,    0, TS
WP, 16, 1987100300,   , XRQA,   0, 293N, 1728E,  35,    0, TS
WP, 16, 1987100306,   , XRQA,   0, 287N, 1733E,  35,    0, TS
WP, 16, 1987100312,   , XRQA,   0, 285N, 1735E,  40,    0, TS
WP, 16, 1987100318,   , XRQA,   0, 284N, 1738E,  40,    0, TS
WP, 16, 1987100400,   , XRQA,   0, 284N, 1740E,  35,    0, TS
WP, 16, 1987100406,   , XRQA,   0, 284N, 1742E,  35,    0, SS
WP, 16, 1987100412,   , XRQA,   0, 288N, 1740E,  35,    0, SS
WP, 16, 1987100418,   , XRQA,   0, 289N, 1735E,  30,    0, SD
WP, 16, 1987100500,   , XRQA,   0, 290N, 1729E,  25,    0, SD
WP, 16, 1987100506,   , XRQA,   0, 290N, 1725E,  25,    0, SD
WP, 16, 1987100512,   , XRQA,   0, 296N, 1722E,  25,    0, SD
WP, 16, 1987100518,   , XRQA,   0, 305N, 1715E,  25,    0, SD
WP, 16, 1987100600,   , XRQA,   0, 305N, 1715E,  25,    0, SD
WP, 16, 1987100606,   , XRQA,   0, 315N, 1725E,  25,    0, SD
WP, 16, 1987100612,   , XRQA,   0, 315N, 1725E,  25,    0, SD
WP, 16, 1987100618,   , XRQA,   0, 315N, 1740E,  25,    0, SD
WP, 16, 1987100700,   , XRQA,   0, 320N, 1755E,  30,    0, EX
WP, 16, 1987100706,   , XRQA,   0, 325N, 1775E,  30,    0, EX
WP, 16, 1987100712,   , XRQA,   0, 335N, 1800E,  30,    0, EX
