WP, 21, 1988100606,   , XRQA,   0, 168N, 1628E,  15,    0, EX
WP, 21, 1988100612,   , XRQA,   0, 169N, 1621E,  15,    0, EX
WP, 21, 1988100618,   , XRQA,   0, 169N, 1613E,  15,    0, EX
WP, 21, 1988100700,   , XRQA,   0, 170N, 1604E,  15,    0, EX
WP, 21, 1988100706,   , XRQA,   0, 170N, 1594E,  15,    0, EX
WP, 21, 1988100712,   , XRQA,   0, 171N, 1582E,  15,    0, EX
WP, 21, 1988100718,   , XRQA,   0, 171N, 1567E,  20,    0, EX
WP, 21, 1988100800,   , XRQA,   0, 171N, 1551E,  20,    0, EX
WP, 21, 1988100806,   , XRQA,   0, 172N, 1534E,  25,    0, TD
WP, 21, 1988100812,   , XRQA,   0, 172N, 1516E,  25,    0, TD
WP, 21, 1988100818,   , XRQA,   0, 173N, 1497E,  30,    0, TD
WP, 21, 1988100900,   , XRQA,   0, 178N, 1477E,  35,    0, TS
WP, 21, 1988100906,   , XRQA,   0, 185N, 1459E,  45,    0, TS
WP, 21, 1988100912,   , XRQA,   0, 192N, 1441E,  45,    0, TS
WP, 21, 1988100918,   , XRQA,   0, 195N, 1425E,  50,    0, TS
WP, 21, 1988101000,   , XRQA,   0, 197N, 1411E,  40,    0, TS
WP, 21, 1988101006,   , XRQA,   0, 196N, 1396E,  40,    0, TS
WP, 21, 1988101012,   , XRQA,   0, 195N, 1381E,  45,    0, TS
WP, 21, 1988101018,   , XRQA,   0, 192N, 1368E,  50,    0, TS
WP, 21, 1988101100,   , XRQA,   0, 189N, 1355E,  50,    0, TS
WP, 21, 1988101106,   , XRQA,   0, 190N, 1339E,  45,    0, TS
WP, 21, 1988101112,   , XRQA,   0, 191N, 1324E,  50,    0, TS
WP, 21, 1988101118,   , XRQA,   0, 191N, 1314E,  50,    0, TS
WP, 21, 1988101200,   , XRQA,   0, 192N, 1305E,  55,    0, TS
WP, 21, 1988101206,   , XRQA,   0, 194N, 1296E,  70,    0, TY
WP, 21, 1988101212,   , XRQA,   0, 198N, 1292E,  65,    0, TY
WP, 21, 1988101218,   , XRQA,   0, 203N, 1291E,  55,    0, TS
WP, 21, 1988101300,   , XRQA,   0, 210N, 1289E,  70,    0, TY
WP, 21, 1988101306,   , XRQA,   0, 217N, 1288E,  90,    0, TY
WP, 21, 1988101312,   , XRQA,   0, 220N, 1291E,  90,    0, TY
WP, 21, 1988101318,   , XRQA,   0, 221N, 1295E,  95,    0, TY
WP, 21, 1988101400,   , XRQA,   0, 225N, 1299E, 105,    0, TY
WP, 21, 1988101403,   , XRQA,   0, 228N, 1301E, 115,    0, TY
WP, 21, 1988101406,   , XRQA,   0, 230N, 1304E, 105,    0, TY
WP, 21, 1988101412,   , XRQA,   0, 235N, 1309E, 115,    0, TY
WP, 21, 1988101418,   , XRQA,   0, 243N, 1313E, 110,    0, TY
WP, 21, 1988101500,   , XRQA,   0, 248N, 1318E, 105,    0, TY
WP, 21, 1988101506,   , XRQA,   0, 252N, 1323E, 115,    0, TY
WP, 21, 1988101512,   , XRQA,   0, 255N, 1329E,  90,    0, TY
WP, 21, 1988101518,   , XRQA,   0, 257N, 1333E, 100,    0, TY
WP, 21, 1988101600,   , XRQA,   0, 259N, 1335E,  75,    0, TY
WP, 21, 1988101606,   , XRQA,   0, 261N, 1337E,  50,    0, TS
WP, 21, 1988101612,   , XRQA,   0, 261N, 1336E,  30,    0, TD
WP, 21, 1988101618,   , XRQA,   0, 262N, 1328E,  30,    0, TD
WP, 21, 1988101700,   , XRQA,   0, 265N, 1322E,  30,    0, TD
WP, 21, 1988101706,   , XRQA,   0, 270N, 1320E,  25,    0, TD
WP, 21, 1988101712,   , XRQA,   0, 273N, 1321E,  25,    0, TD
WP, 21, 1988101718,   , XRQA,   0, 278N, 1323E,  25,    0, TD
WP, 21, 1988101800,   , XRQA,   0, 283N, 1330E,  25,    0, TD
WP, 21, 1988101806,   , XRQA,   0, 287N, 1342E,  25,    0, TD
WP, 21, 1988101812,   , XRQA,   0, 290N, 1358E,  25,    0, TD
WP, 21, 1988101818,   , XRQA,   0, 292N, 1374E,  25,    0, EX
WP, 21, 1988101900,   , XRQA,   0, 294N, 1398E,  25,    0, EX
WP, 21, 1988101906,   , XRQA,   0, 296N, 1423E,  25,    0, EX
WP, 21, 1988101912,   , XRQA,   0, 299N, 1452E,  25,    0, EX
