WP, 61, 1988080600,   , XRQA,   0, 248N, 1404E,  20,    0, MD
WP, 61, 1988080606,   , XRQA,   0, 247N, 1402E,  20,    0, MD
WP, 61, 1988080612,   , XRQA,   0, 246N, 1399E,  20,    0, MD
WP, 61, 1988080618,   , XRQA,   0, 244N, 1395E,  25,    0, MD
WP, 61, 1988080700,   , XRQA,   0, 242N, 1392E,  25,    0, MD
WP, 61, 1988080706,   , XRQA,   0, 240N, 1390E,  30,    0, MD
WP, 61, 1988080712,   , XRQA,   0, 236N, 1388E,  30,    0, MD
WP, 61, 1988080718,   , XRQA,   0, 233N, 1384E,  35,    0, MD
WP, 61, 1988080800,   , XRQA,   0, 235N, 1379E,  35,    0, MD
WP, 61, 1988080806,   , XRQA,   0, 240N, 1375E,  40,    0, MD
WP, 61, 1988080812,   , XRQA,   0, 246N, 1372E,  40,    0, MD
WP, 61, 1988080818,   , XRQA,   0, 252N, 1368E,  45,    0, MD
WP, 61, 1988080900,   , XRQA,   0, 258N, 1364E,  45,    0, MD
WP, 61, 1988080906,   , XRQA,   0, 263N, 1361E,  35,    0, TS
WP, 61, 1988080912,   , XRQA,   0, 269N, 1355E,  35,    0, TS
WP, 61, 1988080918,   , XRQA,   0, 275N, 1351E,  30,    0, SD
WP, 61, 1988081000,   , XRQA,   0, 285N, 1347E,  30,    0, SD
WP, 61, 1988081006,   , XRQA,   0, 295N, 1340E,  35,    0, SS
WP, 61, 1988081012,   , XRQA,   0, 305N, 1334E,  35,    0, SS
WP, 61, 1988081018,   , XRQA,   0, 311N, 1327E,  35,    0, SS
WP, 61, 1988081100,   , XRQA,   0, 313N, 1315E,  35,    0, SS
WP, 61, 1988081106,   , XRQA,   0, 310N, 1308E,  35,    0, SS
WP, 61, 1988081112,   , XRQA,   0, 306N, 1300E,  35,    0, SS
WP, 61, 1988081118,   , XRQA,   0, 306N, 1291E,  35,    0, SS
WP, 61, 1988081200,   , XRQA,   0, 310N, 1287E,  35,    0, SS
WP, 61, 1988081206,   , XRQA,   0, 310N, 1284E,  35,    0, SS
WP, 61, 1988081212,   , XRQA,   0, 312N, 1281E,  35,    0, SS
WP, 61, 1988081218,   , XRQA,   0, 318N, 1279E,  35,    0, SS
WP, 61, 1988081300,   , XRQA,   0, 322N, 1282E,  35,    0, SS
WP, 61, 1988081306,   , XRQA,   0, 325N, 1285E,  35,    0, SS
WP, 61, 1988081312,   , XRQA,   0, 328N, 1289E,  35,    0, SS
WP, 61, 1988081318,   , XRQA,   0, 332N, 1293E,  30,    0, SD
WP, 61, 1988081400,   , XRQA,   0, 334N, 1297E,  30,    0, SD
WP, 61, 1988081406,   , XRQA,   0, 336N, 1302E,  30,    0, SD
