EP, 06, 1989071900,   , XRQA,   0, 146N, 1508W,  50,    0, TS
EP, 06, 1989071906,   , XRQA,   0, 152N, 1516W,  45,    0, TS
EP, 06, 1989071912,   , XRQA,   0, 158N, 1525W,  40,    0, TS
EP, 06, 1989071918,   , XRQA,   0, 166N, 1537W,  30,    0, TD
EP, 06, 1989072000,   , XRQA,   0, 174N, 1552W,  30,    0, TD
EP, 06, 1989072006,   , XRQA,   0, 183N, 1565W,  30,    0, TD
EP, 06, 1989072012,   , XRQA,   0, 187N, 1575W,  30,    0, TD
EP, 06, 1989072018,   , XRQA,   0, 194N, 1581W,  25,    0, TD
EP, 06, 1989072100,   , XRQA,   0, 198N, 1589W,  25,    0, TD
EP, 06, 1989072106,   , XRQA,   0, 203N, 1592W,  25,    0, TD
EP, 06, 1989072112,   , XRQA,   0, 205N, 1608W,  25,    0, TD
EP, 06, 1989072118,   , XRQA,   0, 207N, 1624W,  30,    0, TD
EP, 06, 1989072200,   , XRQA,   0, 209N, 1638W,  30,    0, TD
EP, 06, 1989072206,   , XRQA,   0, 215N, 1656W,  30,    0, TD
EP, 06, 1989072212,   , XRQA,   0, 221N, 1669W,  35,    0, TS
EP, 06, 1989072218,   , XRQA,   0, 229N, 1675W,  35,    0, TS
EP, 06, 1989072300,   , XRQA,   0, 235N, 1682W,  30,    0, TD
EP, 06, 1989072306,   , XRQA,   0, 246N, 1689W,  30,    0, TD
EP, 06, 1989072312,   , XRQA,   0, 261N, 1700W,  30,    0, TD
EP, 06, 1989072318,   , XRQA,   0, 267N, 1708W,  30,    0, TD
EP, 06, 1989072400,   , XRQA,   0, 268N, 1714W,  35,    0, TS
EP, 06, 1989072406,   , XRQA,   0, 270N, 1725W,  30,    0, TD
EP, 06, 1989072412,   , XRQA,   0, 272N, 1734W,  30,    0, TD
EP, 06, 1989072418,   , XRQA,   0, 274N, 1742W,  30,    0, TD
EP, 06, 1989072500,   , XRQA,   0, 278N, 1749W,  35,    0, TS
EP, 06, 1989072506,   , XRQA,   0, 281N, 1758W,  35,    0, TS
EP, 06, 1989072512,   , XRQA,   0, 285N, 1771W,  40,    0, TS
EP, 06, 1989072518,   , XRQA,   0, 289N, 1788W,  40,    0, TS
EP, 06, 1989072600,   , XRQA,   0, 292N, 1795W,  45,    0, TS
EP, 06, 1989072606,   , XRQA,   0, 299N, 1796E,  45,    0, TS
EP, 06, 1989072612,   , XRQA,   0, 305N, 1793E,  50,    0, TS
EP, 06, 1989072618,   , XRQA,   0, 314N, 1786E,  50,    0, TS
EP, 06, 1989072700,   , XRQA,   0, 319N, 1784E,  55,    0, TS
EP, 06, 1989072706,   , XRQA,   0, 329N, 1792E,  50,    0, TS
EP, 06, 1989072712,   , XRQA,   0, 335N, 1799E,  50,    0, TS
EP, 06, 1989072718,   , XRQA,   0, 341N, 1796W,  45,    0, TS
EP, 06, 1989072800,   , XRQA,   0, 348N, 1786W,  45,    0, TS
EP, 06, 1989072806,   , XRQA,   0, 365N, 1769W,  40,    0, EX
EP, 06, 1989072812,   , XRQA,   0, 377N, 1754W,  40,    0, EX
EP, 06, 1989072818,   , XRQA,   0, 385N, 1741W,  40,    0, EX
EP, 06, 1989072900,   , XRQA,   0, 401N, 1722W,  40,    0, EX
