WP, 01, 1989010900,   , XRQA,   0, 152N, 1463W,  30,    0, SD
WP, 01, 1989010906,   , XRQA,   0, 155N, 1471W,  30,    0, SD
WP, 01, 1989010912,   , XRQA,   0, 159N, 1483W,  30,    0, SD
WP, 01, 1989010918,   , XRQA,   0, 162N, 1493W,  30,    0, SD
WP, 01, 1989011000,   , XRQA,   0, 164N, 1503W,  30,    0, SD
WP, 01, 1989011006,   , XRQA,   0, 166N, 1515W,  25,    0, SD
WP, 01, 1989011012,   , XRQA,   0, 168N, 1531W,  25,    0, SD
WP, 01, 1989011018,   , XRQA,   0, 172N, 1550W,  25,    0, SD
WP, 01, 1989011100,   , XRQA,   0, 179N, 1569W,  20,    0, SD
WP, 01, 1989011106,   , XRQA,   0, 187N, 1582W,  20,    0, SD
WP, 01, 1989011112,   , XRQA,   0, 195N, 1590W,  20,    0, DB
WP, 01, 1989011118,   , XRQA,   0, 200N, 1600W,  20,    0, DB
WP, 01, 1989011200,   , XRQA,   0, 204N, 1613W,  20,    0, DB
WP, 01, 1989011206,   , XRQA,   0, 206N, 1624W,  20,    0, DB
WP, 01, 1989011212,   , XRQA,   0, 208N, 1638W,  25,    0, TD
WP, 01, 1989011218,   , XRQA,   0, 210N, 1650W,  30,    0, TD
WP, 01, 1989011300,   , XRQA,   0, 213N, 1662W,  35,    0, TS
WP, 01, 1989011306,   , XRQA,   0, 212N, 1675W,  40,    0, TS
WP, 01, 1989011312,   , XRQA,   0, 210N, 1688W,  45,    0, TS
WP, 01, 1989011318,   , XRQA,   0, 209N, 1705W,  45,    0, TS
WP, 01, 1989011400,   , XRQA,   0, 208N, 1721W,  45,    0, TS
WP, 01, 1989011406,   , XRQA,   0, 207N, 1731W,  45,    0, TS
WP, 01, 1989011412,   , XRQA,   0, 209N, 1742W,  40,    0, TS
WP, 01, 1989011418,   , XRQA,   0, 211N, 1758W,  50,    0, TS
WP, 01, 1989011500,   , XRQA,   0, 210N, 1775W,  45,    0, TS
WP, 01, 1989011506,   , XRQA,   0, 209N, 1794W,  40,    0, TS
WP, 01, 1989011512,   , XRQA,   0, 207N, 1786E,  35,    0, TS
WP, 01, 1989011518,   , XRQA,   0, 202N, 1766E,  40,    0, TS
WP, 01, 1989011600,   , XRQA,   0, 196N, 1743E,  30,    0, TD
WP, 01, 1989011606,   , XRQA,   0, 189N, 1718E,  25,    0, TD
WP, 01, 1989011612,   , XRQA,   0, 183N, 1692E,  30,    0, TD
WP, 01, 1989011618,   , XRQA,   0, 179N, 1665E,  35,    0, TS
WP, 01, 1989011700,   , XRQA,   0, 175N, 1637E,  35,    0, TS
WP, 01, 1989011706,   , XRQA,   0, 172N, 1610E,  35,    0, TS
WP, 01, 1989011712,   , XRQA,   0, 169N, 1583E,  30,    0, TD
WP, 01, 1989011718,   , XRQA,   0, 168N, 1563E,  35,    0, TS
WP, 01, 1989011800,   , XRQA,   0, 167N, 1540E,  40,    0, TS
WP, 01, 1989011806,   , XRQA,   0, 166N, 1519E,  45,    0, TS
WP, 01, 1989011812,   , XRQA,   0, 163N, 1500E,  50,    0, TS
WP, 01, 1989011818,   , XRQA,   0, 159N, 1481E,  40,    0, TS
WP, 01, 1989011900,   , XRQA,   0, 152N, 1456E,  45,    0, TS
WP, 01, 1989011906,   , XRQA,   0, 147N, 1431E,  40,    0, TS
WP, 01, 1989011912,   , XRQA,   0, 140N, 1400E,  30,    0, TD
WP, 01, 1989011918,   , XRQA,   0, 136N, 1369E,  25,    0, TD
WP, 01, 1989012000,   , XRQA,   0, 134N, 1342E,  25,    0, TD
WP, 01, 1989012006,   , XRQA,   0, 136N, 1322E,  25,    0, TD
WP, 01, 1989012012,   , XRQA,   0, 136N, 1304E,  30,    0, TD
WP, 01, 1989012018,   , XRQA,   0, 133N, 1288E,  35,    0, TS
WP, 01, 1989012100,   , XRQA,   0, 131N, 1276E,  30,    0, TD
WP, 01, 1989012106,   , XRQA,   0, 124N, 1263E,  25,    0, TD
WP, 01, 1989012112,   , XRQA,   0, 119N, 1247E,  30,    0, TD
WP, 01, 1989012118,   , XRQA,   0, 116N, 1230E,  35,    0, TS
WP, 01, 1989012200,   , XRQA,   0, 114N, 1215E,  30,    0, TD
WP, 01, 1989012206,   , XRQA,   0, 110N, 1199E,  25,    0, TD
WP, 01, 1989012212,   , XRQA,   0, 107N, 1185E,  25,    0, TD
WP, 01, 1989012218,   , XRQA,   0, 105N, 1178E,  25,    0, TD
WP, 01, 1989012300,   , XRQA,   0, 103N, 1170E,  20,    0, DB
WP, 01, 1989012306,   , XRQA,   0, 101N, 1162E,  20,    0, DB
WP, 01, 1989012312,   , XRQA,   0,  99N, 1155E,  20,    0, DB
WP, 01, 1989012318,   , XRQA,   0,  98N, 1150E,  20,    0, DB
