EP, 06, 1991072500,   , XRQA,   0, 262N, 1547W,  30,    0, TD
EP, 06, 1991072506,   , XRQA,   0, 268N, 1562W,  30,    0, TD
EP, 06, 1991072512,   , XRQA,   0, 275N, 1574W,  25,    0, TD
EP, 06, 1991072518,   , XRQA,   0, 285N, 1583W,  25,    0, TD
EP, 06, 1991072600,   , XRQA,   0, 295N, 1589W,  25,    0, TD
EP, 06, 1991072606,   , XRQA,   0, 301N, 1593W,  25,    0, TD
EP, 06, 1991072612,   , XRQA,   0, 307N, 1596W,  25,    0, TD
EP, 06, 1991072618,   , XRQA,   0, 314N, 1598W,  25,    0, TD
EP, 06, 1991072700,   , XRQA,   0, 320N, 1600W,  30,    0, TD
EP, 06, 1991072706,   , XRQA,   0, 325N, 1598W,  30,    0, TD
EP, 06, 1991072712,   , XRQA,   0, 322N, 1590W,  25,    0, TD
EP, 06, 1991072718,   , XRQA,   0, 320N, 1597W,  30,    0, TD
EP, 06, 1991072800,   , XRQA,   0, 319N, 1605W,  25,    0, TD
EP, 06, 1991072806,   , XRQA,   0, 317N, 1613W,  30,    0, TD
EP, 06, 1991072812,   , XRQA,   0, 314N, 1622W,  30,    0, TD
EP, 06, 1991072818,   , XRQA,   0, 311N, 1631W,  25,    0, TD
EP, 06, 1991072900,   , XRQA,   0, 307N, 1638W,  30,    0, TD
EP, 06, 1991072906,   , XRQA,   0, 302N, 1645W,  30,    0, TD
EP, 06, 1991072912,   , XRQA,   0, 298N, 1653W,  35,    0, TS
EP, 06, 1991072918,   , XRQA,   0, 291N, 1666W,  30,    0, TD
EP, 06, 1991073000,   , XRQA,   0, 286N, 1681W,  30,    0, TD
EP, 06, 1991073006,   , XRQA,   0, 282N, 1700W,  35,    0, TS
EP, 06, 1991073012,   , XRQA,   0, 281N, 1721W,  35,    0, TS
EP, 06, 1991073018,   , XRQA,   0, 284N, 1741W,  40,    0, TS
EP, 06, 1991073100,   , XRQA,   0, 288N, 1759W,  30,    0, TD
EP, 06, 1991073106,   , XRQA,   0, 291N, 1778W,  30,    0, TD
EP, 06, 1991073112,   , XRQA,   0, 294N, 1800E,  35,    0, TS
EP, 06, 1991073118,   , XRQA,   0, 299N, 1778E,  50,    0, TS
EP, 06, 1991080100,   , XRQA,   0, 306N, 1754E,  40,    0, TS
EP, 06, 1991080106,   , XRQA,   0, 321N, 1734E,  30,    0, TD
EP, 06, 1991080112,   , XRQA,   0, 342N, 1724E,  30,    0, TD
EP, 06, 1991080118,   , XRQA,   0, 368N, 1716E,  30,    0, TD
EP, 06, 1991080200,   , XRQA,   0, 398N, 1717E,  30,    0, EX
EP, 06, 1991080206,   , XRQA,   0, 425N, 1723E,  30,    0, EX
