WP, 15, 1991082100,   , XRQA,   0, 221N, 1475E,  25,    0, TD
WP, 15, 1991082106,   , XRQA,   0, 224N, 1471E,  25,    0, TD
WP, 15, 1991082112,   , XRQA,   0, 227N, 1469E,  25,    0, TD
WP, 15, 1991082118,   , XRQA,   0, 230N, 1466E,  25,    0, TD
WP, 15, 1991082200,   , XRQA,   0, 234N, 1463E,  25,    0, TD
WP, 15, 1991082206,   , XRQA,   0, 237N, 1460E,  25,    0, TD
WP, 15, 1991082212,   , XRQA,   0, 240N, 1457E,  25,    0, TD
WP, 15, 1991082218,   , XRQA,   0, 243N, 1454E,  25,    0, TD
WP, 15, 1991082300,   , XRQA,   0, 245N, 1452E,  25,    0, TD
WP, 15, 1991082306,   , XRQA,   0, 247N, 1449E,  25,    0, TD
WP, 15, 1991082312,   , XRQA,   0, 249N, 1448E,  25,    0, TD
WP, 15, 1991082318,   , XRQA,   0, 252N, 1446E,  25,    0, TD
WP, 15, 1991082400,   , XRQA,   0, 256N, 1441E,  25,    0, TD
WP, 15, 1991082406,   , XRQA,   0, 259N, 1435E,  25,    0, TD
WP, 15, 1991082412,   , XRQA,   0, 262N, 1429E,  30,    0, TD
WP, 15, 1991082418,   , XRQA,   0, 264N, 1420E,  30,    0, TD
WP, 15, 1991082500,   , XRQA,   0, 266N, 1411E,  30,    0, TD
WP, 15, 1991082506,   , XRQA,   0, 268N, 1403E,  30,    0, TD
WP, 15, 1991082512,   , XRQA,   0, 269N, 1395E,  30,    0, TD
WP, 15, 1991082518,   , XRQA,   0, 271N, 1387E,  30,    0, TD
WP, 15, 1991082600,   , XRQA,   0, 272N, 1379E,  30,    0, TD
WP, 15, 1991082606,   , XRQA,   0, 273N, 1370E,  30,    0, TD
WP, 15, 1991082612,   , XRQA,   0, 274N, 1361E,  30,    0, TD
WP, 15, 1991082618,   , XRQA,   0, 276N, 1354E,  30,    0, TD
WP, 15, 1991082700,   , XRQA,   0, 278N, 1345E,  30,    0, TD
WP, 15, 1991082706,   , XRQA,   0, 280N, 1335E,  30,    0, TD
WP, 15, 1991082712,   , XRQA,   0, 284N, 1326E,  35,    0, TS
WP, 15, 1991082718,   , XRQA,   0, 290N, 1318E,  40,    0, TS
WP, 15, 1991082800,   , XRQA,   0, 298N, 1307E,  40,    0, TS
WP, 15, 1991082806,   , XRQA,   0, 305N, 1296E,  30,    0, TD
WP, 15, 1991082812,   , XRQA,   0, 314N, 1289E,  30,    0, TD
WP, 15, 1991082818,   , XRQA,   0, 324N, 1286E,  35,    0, TS
WP, 15, 1991082900,   , XRQA,   0, 332N, 1286E,  35,    0, TS
WP, 15, 1991082906,   , XRQA,   0, 343N, 1291E,  30,    0, TD
WP, 15, 1991082912,   , XRQA,   0, 355N, 1303E,  30,    0, TD
WP, 15, 1991082918,   , XRQA,   0, 373N, 1320E,  30,    0, TD
WP, 15, 1991083000,   , XRQA,   0, 388N, 1340E,  30,    0, TD
WP, 15, 1991083006,   , XRQA,   0, 400N, 1360E,  30,    0, TD
WP, 15, 1991083012,   , XRQA,   0, 405N, 1370E,  30,    0, TD
WP, 15, 1991083018,   , XRQA,   0, 410N, 1380E,  25,    0, TD
WP, 15, 1991083100,   , XRQA,   0, 410N, 1390E,  25,    0, TD
WP, 15, 1991083106,   , XRQA,   0, 408N, 1400E,  25,    0, TD
WP, 15, 1991083112,   , XRQA,   0, 408N, 1410E,  25,    0, TD
WP, 15, 1991083118,   , XRQA,   0, 407N, 1420E,  25,    0, TD
