CP, 01, 1993080700,   , XRQA,   0, 120N, 1362W,  25,    0, TD
CP, 01, 1993080706,   , XRQA,   0, 120N, 1366W,  25,    0, TD
CP, 01, 1993080712,   , XRQA,   0, 121N, 1371W,  25,    0, TD
CP, 01, 1993080718,   , XRQA,   0, 121N, 1375W,  30,    0, TD
CP, 01, 1993080900,   , XRQA,   0, 121N, 1381W,  30,    0, TD
CP, 01, 1993080906,   , XRQA,   0, 122N, 1387W,  30,    0, TD
CP, 01, 1993080912,   , XRQA,   0, 122N, 1393W,  35,    0, TS
CP, 01, 1993080918,   , XRQA,   0, 122N, 1398W,  35,    0, TS
CP, 01, 1993081000,   , XRQA,   0, 122N, 1404W,  30,    0, TD
CP, 01, 1993081006,   , XRQA,   0, 122N, 1411W,  30,    0, TD
CP, 01, 1993081012,   , XRQA,   0, 123N, 1418W,  30,    0, TD
CP, 01, 1993081018,   , XRQA,   0, 123N, 1426W,  30,    0, TD
CP, 01, 1993081100,   , XRQA,   0, 123N, 1434W,  30,    0, TD
CP, 01, 1993081106,   , XRQA,   0, 123N, 1442W,  35,    0, TS
CP, 01, 1993081112,   , XRQA,   0, 123N, 1451W,  35,    0, TS
CP, 01, 1993081118,   , XRQA,   0, 123N, 1459W,  30,    0, TD
CP, 01, 1993081200,   , XRQA,   0, 122N, 1469W,  30,    0, TD
CP, 01, 1993081206,   , XRQA,   0, 121N, 1481W,  35,    0, TS
CP, 01, 1993081212,   , XRQA,   0, 119N, 1496W,  45,    0, TS
CP, 01, 1993081218,   , XRQA,   0, 118N, 1510W,  55,    0, TS
CP, 01, 1993081300,   , XRQA,   0, 118N, 1523W,  50,    0, TS
CP, 01, 1993081306,   , XRQA,   0, 119N, 1536W,  40,    0, TS
CP, 01, 1993081312,   , XRQA,   0, 120N, 1547W,  45,    0, TS
CP, 01, 1993081318,   , XRQA,   0, 121N, 1557W,  45,    0, TS
CP, 01, 1993081400,   , XRQA,   0, 123N, 1571W,  50,    0, TS
CP, 01, 1993081406,   , XRQA,   0, 127N, 1585W,  55,    0, TS
CP, 01, 1993081412,   , XRQA,   0, 130N, 1597W,  65,    0, TY
CP, 01, 1993081418,   , XRQA,   0, 133N, 1611W,  75,    0, TY
CP, 01, 1993081500,   , XRQA,   0, 136N, 1626W,  85,    0, TY
CP, 01, 1993081506,   , XRQA,   0, 138N, 1641W, 105,    0, TY
CP, 01, 1993081512,   , XRQA,   0, 139N, 1654W, 120,    0, TY
CP, 01, 1993081518,   , XRQA,   0, 140N, 1668W, 130,    0, ST
CP, 01, 1993081600,   , XRQA,   0, 141N, 1681W, 130,    0, ST
CP, 01, 1993081606,   , XRQA,   0, 144N, 1694W, 135,    0, ST
CP, 01, 1993081612,   , XRQA,   0, 148N, 1706W, 135,    0, ST
CP, 01, 1993081618,   , XRQA,   0, 151N, 1713W, 125,    0, TY
CP, 01, 1993081700,   , XRQA,   0, 155N, 1720W, 120,    0, TY
CP, 01, 1993081706,   , XRQA,   0, 160N, 1727W, 100,    0, TY
CP, 01, 1993081712,   , XRQA,   0, 165N, 1734W,  95,    0, TY
CP, 01, 1993081718,   , XRQA,   0, 170N, 1740W,  85,    0, TY
CP, 01, 1993081800,   , XRQA,   0, 173N, 1745W,  75,    0, TY
CP, 01, 1993081806,   , XRQA,   0, 177N, 1750W,  65,    0, TY
CP, 01, 1993081812,   , XRQA,   0, 181N, 1757W,  55,    0, TS
CP, 01, 1993081818,   , XRQA,   0, 187N, 1763W,  65,    0, TY
CP, 01, 1993081900,   , XRQA,   0, 193N, 1771W,  65,    0, TY
CP, 01, 1993081906,   , XRQA,   0, 198N, 1779W,  70,    0, TY
CP, 01, 1993081912,   , XRQA,   0, 200N, 1789W,  75,    0, TY
CP, 01, 1993081918,   , XRQA,   0, 202N, 1800E,  85,    0, TY
CP, 01, 1993081921,   , XRQA,   0, 204N, 1796E, 105,    0, TY
CP, 01, 1993082000,   , XRQA,   0, 206N, 1792E, 100,    0, TY
