EP, 07, 1999080306,   , XRQA,   0,  95N,  905W,  15,    0, DB
EP, 07, 1999080312,   , XRQA,   0,  98N,  914W,  15,    0, DB
EP, 07, 1999080318,   , XRQA,   0, 100N,  921W,  20,    0, DB
EP, 07, 1999080400,   , XRQA,   0, 101N,  927W,  20,    0, DB
EP, 07, 1999080406,   , XRQA,   0, 102N,  932W,  25,    0, TD
EP, 07, 1999080412,   , XRQA,   0, 104N,  938W,  25,    0, TD
EP, 07, 1999080418,   , XRQA,   0, 107N,  945W,  30,    0, TD
EP, 07, 1999080500,   , XRQA,   0, 109N,  955W,  35,    0, TS
EP, 07, 1999080506,   , XRQA,   0, 112N,  967W,  40,    0, TS
EP, 07, 1999080512,   , XRQA,   0, 115N,  979W,  35,    0, TS
EP, 07, 1999080518,   , XRQA,   0, 118N,  992W,  30,    0, TD
EP, 07, 1999080600,   , XRQA,   0, 122N, 1008W,  40,    0, TS
EP, 07, 1999080606,   , XRQA,   0, 124N, 1022W,  35,    0, TS
EP, 07, 1999080612,   , XRQA,   0, 127N, 1035W,  45,    0, TS
EP, 07, 1999080618,   , XRQA,   0, 132N, 1049W,  50,    0, TS
EP, 07, 1999080700,   , XRQA,   0, 136N, 1063W,  50,    0, TS
EP, 07, 1999080706,   , XRQA,   0, 139N, 1073W,  50,    0, TS
EP, 07, 1999080712,   , XRQA,   0, 144N, 1081W,  55,    0, TS
EP, 07, 1999080718,   , XRQA,   0, 148N, 1088W,  55,    0, TS
EP, 07, 1999080800,   , XRQA,   0, 151N, 1099W,  65,    0, TY
EP, 07, 1999080806,   , XRQA,   0, 152N, 1110W,  55,    0, TS
EP, 07, 1999080812,   , XRQA,   0, 151N, 1121W,  55,    0, TS
EP, 07, 1999080818,   , XRQA,   0, 150N, 1131W,  55,    0, TS
EP, 07, 1999080900,   , XRQA,   0, 149N, 1141W,  65,    0, TY
EP, 07, 1999080906,   , XRQA,   0, 148N, 1151W,  75,    0, TY
EP, 07, 1999080912,   , XRQA,   0, 147N, 1159W,  90,    0, TY
EP, 07, 1999080918,   , XRQA,   0, 146N, 1167W, 105,    0, TY
EP, 07, 1999081000,   , XRQA,   0, 145N, 1175W, 120,    0, TY
EP, 07, 1999081006,   , XRQA,   0, 144N, 1184W, 125,    0, TY
EP, 07, 1999081012,   , XRQA,   0, 143N, 1194W, 120,    0, TY
EP, 07, 1999081018,   , XRQA,   0, 144N, 1205W, 115,    0, TY
EP, 07, 1999081100,   , XRQA,   0, 145N, 1215W, 115,    0, TY
EP, 07, 1999081106,   , XRQA,   0, 145N, 1226W, 115,    0, TY
EP, 07, 1999081112,   , XRQA,   0, 146N, 1238W, 130,    0, ST
EP, 07, 1999081118,   , XRQA,   0, 147N, 1251W, 125,    0, TY
EP, 07, 1999081200,   , XRQA,   0, 149N, 1264W, 125,    0, TY
EP, 07, 1999081206,   , XRQA,   0, 150N, 1278W, 110,    0, TY
EP, 07, 1999081212,   , XRQA,   0, 152N, 1291W, 105,    0, TY
EP, 07, 1999081218,   , XRQA,   0, 154N, 1306W, 115,    0, TY
EP, 07, 1999081300,   , XRQA,   0, 155N, 1323W, 115,    0, TY
EP, 07, 1999081306,   , XRQA,   0, 156N, 1340W, 130,    0, ST
