CP, 01, 2010121600,   , XRQA,   0, 301N, 1762E,  25,    0, SS
CP, 01, 2010121606,   , XRQA,   0, 289N, 1773E,  25,    0, SS
CP, 01, 2010121612,   , XRQA,   0, 281N, 1785E,  30,    0, SS
CP, 01, 2010121618,   , XRQA,   0, 271N, 1795E,  35,    0, SS
CP, 01, 2010121700,   , XRQA,   0, 263N, 1797W,  40,    0, SS
CP, 01, 2010121706,   , XRQA,   0, 257N, 1793W,  40,    0, SS
CP, 01, 2010121712,   , XRQA,   0, 251N, 1789W,  35,    0, SS
CP, 01, 2010121718,   , XRQA,   0, 246N, 1787W,  30,    0, TD
CP, 01, 2010121800,   , XRQA,   0, 242N, 1785W,  40,    0, TS
CP, 01, 2010121806,   , XRQA,   0, 238N, 1786W,  40,    0, TS
CP, 01, 2010121812,   , XRQA,   0, 236N, 1787W,  50,    0, TS
CP, 01, 2010121818,   , XRQA,   0, 230N, 1798W,  35,    0, TS
CP, 01, 2010121900,   , XRQA,   0, 222N, 1794E,  50,    0, TS
CP, 01, 2010121906,   , XRQA,   0, 216N, 1791E,  55,    0, TS
CP, 01, 2010121912,   , XRQA,   0, 211N, 1790E,  65,    0, TY
CP, 01, 2010121918,   , XRQA,   0, 204N, 1791E,  75,    0, TY
CP, 01, 2010122000,   , XRQA,   0, 201N, 1799E,  55,    0, TS
CP, 01, 2010122006,   , XRQA,   0, 204N, 1789W,  50,    0, TS
CP, 01, 2010122012,   , XRQA,   0, 210N, 1773W,  40,    0, TS
CP, 01, 2010122018,   , XRQA,   0, 224N, 1761W,  30,    0, TD
CP, 01, 2010122100,   , XRQA,   0, 238N, 1746W,  25,    0, TD
CP, 01, 2010122106,   , XRQA,   0, 254N, 1737W,  25,    0, TD
CP, 01, 2010122112,   , XRQA,   0, 270N, 1730W,  30,    0, SS
CP, 01, 2010122118,   , XRQA,   0, 290N, 1726W,  35,    0, SS
CP, 01, 2010122200,   , XRQA,   0, 307N, 1722W,  30,    0, SS
CP, 01, 2010122206,   , XRQA,   0, 322N, 1724W,  30,    0, SS
CP, 01, 2010122212,   , XRQA,   0, 333N, 1723W,  30,    0, EX
CP, 01, 2010122218,   , XRQA,   0, 341N, 1719W,  30,    0, EX
