WP, 12, 2011072812,   , XRQA,   0, 255N, 1755E,  25,    0, SD
WP, 12, 2011072818,   , XRQA,   0, 252N, 1751E,  25,    0, SD
WP, 12, 2011072900,   , XRQA,   0, 251N, 1746E,  25,    0, SD
WP, 12, 2011072906,   , XRQA,   0, 249N, 1741E,  25,    0, SD
WP, 12, 2011072912,   , XRQA,   0, 246N, 1737E,  25,    0, SD
WP, 12, 2011072918,   , XRQA,   0, 243N, 1733E,  25,    0, SD
WP, 12, 2011073000,   , XRQA,   0, 239N, 1727E,  35,    0, SS
WP, 12, 2011073006,   , XRQA,   0, 235N, 1722E,  35,    0, SS
WP, 12, 2011073012,   , XRQA,   0, 232N, 1718E,  35,    0, SS
WP, 12, 2011073018,   , XRQA,   0, 230N, 1714E,  35,    0, SS
WP, 12, 2011073100,   , XRQA,   0, 229N, 1710E,  25,    0, TD
WP, 12, 2011073106,   , XRQA,   0, 229N, 1705E,  25,    0, TD
WP, 12, 2011073112,   , XRQA,   0, 231N, 1699E,  30,    0, TD
WP, 12, 2011073118,   , XRQA,   0, 231N, 1693E,  30,    0, TD
WP, 12, 2011080100,   , XRQA,   0, 233N, 1687E,  30,    0, TD
WP, 12, 2011080106,   , XRQA,   0, 234N, 1681E,  30,    0, TD
WP, 12, 2011080112,   , XRQA,   0, 235N, 1674E,  30,    0, TD
WP, 12, 2011080118,   , XRQA,   0, 236N, 1666E,  35,    0, SS
WP, 12, 2011080200,   , XRQA,   0, 239N, 1656E,  35,    0, SS
WP, 12, 2011080206,   , XRQA,   0, 242N, 1647E,  40,    0, SS
WP, 12, 2011080212,   , XRQA,   0, 239N, 1637E,  40,    0, SS
WP, 12, 2011080218,   , XRQA,   0, 236N, 1627E,  45,    0, SS
WP, 12, 2011080300,   , XRQA,   0, 232N, 1617E,  45,    0, SS
WP, 12, 2011080306,   , XRQA,   0, 230N, 1607E,  45,    0, TS
WP, 12, 2011080312,   , XRQA,   0, 232N, 1599E,  50,    0, TS
WP, 12, 2011080318,   , XRQA,   0, 237N, 1591E,  45,    0, TS
WP, 12, 2011080400,   , XRQA,   0, 243N, 1583E,  40,    0, TS
WP, 12, 2011080406,   , XRQA,   0, 246N, 1573E,  35,    0, TS
WP, 12, 2011080412,   , XRQA,   0, 249N, 1568E,  45,    0, TS
WP, 12, 2011080418,   , XRQA,   0, 254N, 1563E,  60,    0, TS
WP, 12, 2011080500,   , XRQA,   0, 261N, 1557E,  75,    0, TY
WP, 12, 2011080506,   , XRQA,   0, 268N, 1553E,  80,    0, TY
WP, 12, 2011080512,   , XRQA,   0, 271N, 1548E,  85,    0, TY
WP, 12, 2011080518,   , XRQA,   0, 275N, 1543E,  85,    0, TY
WP, 12, 2011080600,   , XRQA,   0, 281N, 1540E,  80,    0, TY
WP, 12, 2011080606,   , XRQA,   0, 287N, 1538E,  80,    0, TY
WP, 12, 2011080612,   , XRQA,   0, 294N, 1538E,  85,    0, TY
WP, 12, 2011080618,   , XRQA,   0, 302N, 1538E,  85,    0, TY
WP, 12, 2011080700,   , XRQA,   0, 308N, 1539E,  80,    0, TY
WP, 12, 2011080706,   , XRQA,   0, 316N, 1541E,  75,    0, TY
WP, 12, 2011080712,   , XRQA,   0, 324N, 1547E,  65,    0, TY
WP, 12, 2011080718,   , XRQA,   0, 331N, 1554E,  55,    0, TS
WP, 12, 2011080800,   , XRQA,   0, 343N, 1563E,  55,    0, TS
WP, 12, 2011080806,   , XRQA,   0, 358N, 1577E,  65,    0, TY
WP, 12, 2011080812,   , XRQA,   0, 374N, 1591E,  65,    0, SS
WP, 12, 2011080818,   , XRQA,   0, 391N, 1601E,  65,    0, SS
WP, 12, 2011080900,   , XRQA,   0, 404N, 1606E,  65,    0, SS
WP, 12, 2011080906,   , XRQA,   0, 413N, 1615E,  65,    0, SS
WP, 12, 2011080912,   , XRQA,   0, 419N, 1629E,  65,    0, EX
WP, 12, 2011080918,   , XRQA,   0, 433N, 1641E,  65,    0, EX
WP, 12, 2011081000,   , XRQA,   0, 445N, 1645E,  65,    0, EX
WP, 12, 2011081006,   , XRQA,   0, 454N, 1654E,  65,    0, EX
WP, 12, 2011081012,   , XRQA,   0, 472N, 1657E,  65,    0, EX
WP, 12, 2011081018,   , XRQA,   0, 487N, 1659E,  65,    0, EX
WP, 12, 2011081100,   , XRQA,   0, 500N, 1657E,  65,    0, EX
WP, 12, 2011081106,   , XRQA,   0, 508N, 1664E,  65,    0, EX
WP, 12, 2011081112,   , XRQA,   0, 515N, 1663E,  65,    0, EX
WP, 12, 2011081118,   , XRQA,   0, 520N, 1664E,  65,    0, EX
WP, 12, 2011081200,   , XRQA,   0, 533N, 1663E,  65,    0, EX
