WP, 20, 2012092800,   , XRQA,   0,  96N, 1561E,  15,    0, MD
WP, 20, 2012092806,   , XRQA,   0,  99N, 1551E,  15,    0, MD
WP, 20, 2012092812,   , XRQA,   0, 103N, 1542E,  20,    0, MD
WP, 20, 2012092818,   , XRQA,   0, 109N, 1534E,  25,    0, TD
WP, 20, 2012092900,   , XRQA,   0, 114N, 1527E,  25,    0, TD
WP, 20, 2012092906,   , XRQA,   0, 120N, 1520E,  30,    0, TD
WP, 20, 2012092912,   , XRQA,   0, 128N, 1513E,  30,    0, TD
WP, 20, 2012092918,   , XRQA,   0, 134N, 1508E,  35,    0, TS
WP, 20, 2012093000,   , XRQA,   0, 142N, 1502E,  40,    0, TS
WP, 20, 2012093006,   , XRQA,   0, 149N, 1497E,  40,    0, TS
WP, 20, 2012093012,   , XRQA,   0, 157N, 1488E,  45,    0, TS
WP, 20, 2012093018,   , XRQA,   0, 164N, 1476E,  40,    0, TS
WP, 20, 2012100100,   , XRQA,   0, 171N, 1468E,  40,    0, MD
WP, 20, 2012100106,   , XRQA,   0, 180N, 1461E,  30,    0, TD
WP, 20, 2012100112,   , XRQA,   0, 189N, 1453E,  40,    0, TS
WP, 20, 2012100118,   , XRQA,   0, 195N, 1443E,  45,    0, TS
WP, 20, 2012100200,   , XRQA,   0, 203N, 1434E,  50,    0, TS
WP, 20, 2012100206,   , XRQA,   0, 209N, 1426E,  50,    0, TS
WP, 20, 2012100212,   , XRQA,   0, 217N, 1422E,  55,    0, TS
WP, 20, 2012100218,   , XRQA,   0, 227N, 1415E,  60,    0, TS
WP, 20, 2012100300,   , XRQA,   0, 245N, 1409E,  55,    0, TS
WP, 20, 2012100306,   , XRQA,   0, 259N, 1416E,  60,    0, TS
WP, 20, 2012100312,   , XRQA,   0, 282N, 1424E,  60,    0, TS
WP, 20, 2012100318,   , XRQA,   0, 308N, 1427E,  55,    0, TS
WP, 20, 2012100400,   , XRQA,   0, 341N, 1441E,  55,    0, EX
WP, 20, 2012100406,   , XRQA,   0, 370N, 1461E,  55,    0, EX
WP, 20, 2012100412,   , XRQA,   0, 399N, 1495E,  55,    0, EX
WP, 20, 2012100418,   , XRQA,   0, 424N, 1528E,  65,    0, EX
WP, 20, 2012100500,   , XRQA,   0, 438N, 1552E,  65,    0, EX
WP, 20, 2012100506,   , XRQA,   0, 449N, 1571E,  65,    0, EX
WP, 20, 2012100512,   , XRQA,   0, 459N, 1592E,  65,    0, EX
WP, 20, 2012100518,   , XRQA,   0, 458N, 1622E,  65,    0, EX
WP, 20, 2012100600,   , XRQA,   0, 457N, 1670E,  65,    0, EX
WP, 20, 2012100606,   , XRQA,   0, 453N, 1721E,  55,    0, EX
WP, 20, 2012100612,   , XRQA,   0, 451N, 1773E,  55,    0, EX
WP, 20, 2012100618,   , XRQA,   0, 467N, 1773W,  55,    0, EX
