CP, 01, 2013081500,   , XRQA,   0,  76N, 1673W,  25,    0, TD
CP, 01, 2013081506,   , XRQA,   0,  78N, 1681W,  30,    0, TD
CP, 01, 2013081512,   , XRQA,   0,  82N, 1689W,  25,    0, TD
CP, 01, 2013081518,   , XRQA,   0,  86N, 1699W,  30,    0, TD
CP, 01, 2013081600,   , XRQA,   0,  89N, 1709W,  35,    0, TS
CP, 01, 2013081606,   , XRQA,   0,  92N, 1719W,  45,    0, TS
CP, 01, 2013081612,   , XRQA,   0,  94N, 1730W,  50,    0, TS
CP, 01, 2013081618,   , XRQA,   0,  97N, 1739W,  50,    0, TS
CP, 01, 2013081700,   , XRQA,   0, 100N, 1750W,  40,    0, TS
CP, 01, 2013081706,   , XRQA,   0, 104N, 1760W,  50,    0, TS
CP, 01, 2013081712,   , XRQA,   0, 108N, 1769W,  50,    0, TS
CP, 01, 2013081718,   , XRQA,   0, 112N, 1779W,  65,    0, TY
CP, 01, 2013081800,   , XRQA,   0, 115N, 1790W,  55,    0, TS
CP, 01, 2013081806,   , XRQA,   0, 119N, 1799W,  60,    0, TS
CP, 01, 2013081812,   , XRQA,   0, 124N, 1791E,  55,    0, TS
CP, 01, 2013081818,   , XRQA,   0, 128N, 1789E,  75,    0, TY
CP, 01, 2013081900,   , XRQA,   0, 133N, 1784E, 110,    0, TY
CP, 01, 2013081906,   , XRQA,   0, 139N, 1779E, 100,    0, TY
CP, 01, 2013081912,   , XRQA,   0, 145N, 1772E,  55,    0, TS
CP, 01, 2013081918,   , XRQA,   0, 147N, 1764E,  55,    0, TS
CP, 01, 2013082000,   , XRQA,   0, 153N, 1756E,  50,    0, TS
CP, 01, 2013082006,   , XRQA,   0, 162N, 1748E,  40,    0, TS
CP, 01, 2013082012,   , XRQA,   0, 173N, 1739E,  50,    0, TS
CP, 01, 2013082018,   , XRQA,   0, 181N, 1728E,  45,    0, TS
CP, 01, 2013082100,   , XRQA,   0, 186N, 1718E,  35,    0, TS
CP, 01, 2013082106,   , XRQA,   0, 195N, 1713E,  50,    0, TS
CP, 01, 2013082112,   , XRQA,   0, 203N, 1706E,  50,    0, TS
CP, 01, 2013082118,   , XRQA,   0, 212N, 1701E,  55,    0, TS
CP, 01, 2013082200,   , XRQA,   0, 221N, 1698E,  40,    0, TS
CP, 01, 2013082206,   , XRQA,   0, 232N, 1696E,  45,    0, TS
CP, 01, 2013082212,   , XRQA,   0, 243N, 1692E,  50,    0, TS
CP, 01, 2013082218,   , XRQA,   0, 252N, 1690E,  50,    0, TS
CP, 01, 2013082300,   , XRQA,   0, 260N, 1689E,  40,    0, TS
CP, 01, 2013082306,   , XRQA,   0, 264N, 1689E,  45,    0, TS
CP, 01, 2013082312,   , XRQA,   0, 268N, 1690E,  40,    0, TS
CP, 01, 2013082318,   , XRQA,   0, 271N, 1692E,  35,    0, TS
CP, 01, 2013082400,   , XRQA,   0, 275N, 1693E,  35,    0, TS
CP, 01, 2013082406,   , XRQA,   0, 279N, 1689E,  45,    0, TS
CP, 01, 2013082412,   , XRQA,   0, 280N, 1685E,  40,    0, TS
CP, 01, 2013082418,   , XRQA,   0, 282N, 1681E,  35,    0, SS
CP, 01, 2013082500,   , XRQA,   0, 284N, 1669E,  35,    0, SS
CP, 01, 2013082506,   , XRQA,   0, 286N, 1662E,  35,    0, SS
CP, 01, 2013082512,   , XRQA,   0, 292N, 1659E,  35,    0, SS
CP, 01, 2013082518,   , XRQA,   0, 297N, 1658E,  30,    0, SD
CP, 01, 2013082600,   , XRQA,   0, 308N, 1654E,  30,    0, SD
CP, 01, 2013082606,   , XRQA,   0, 320N, 1653E,  25,    0, SD
CP, 01, 2013082612,   , XRQA,   0, 334N, 1656E,  25,    0, TD
CP, 01, 2013082618,   , XRQA,   0, 352N, 1658E,  25,    0, TD
