WP, 60, 2013082800,   , XRQA,   0, 279N, 1667E,  25,    0, SD,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,    ,   0,   0,       YUTU, S,
WP, 60, 2013082806,   , XRQA,   0, 283N, 1675E,  25,    0, SD
WP, 60, 2013082812,   , XRQA,   0, 287N, 1682E,  25,    0, SD
WP, 60, 2013082818,   , XRQA,   0, 290N, 1688E,  25,    0, SD
WP, 60, 2013082900,   , XRQA,   0, 292N, 1691E,  30,    0, SD
WP, 60, 2013082906,   , XRQA,   0, 290N, 1692E,  30,    0, SD
WP, 60, 2013082912,   , XRQA,   0, 289N, 1692E,  30,    0, SD
WP, 60, 2013082918,   , XRQA,   0, 287N, 1693E,  30,    0, SD
WP, 60, 2013083000,   , XRQA,   0, 285N, 1694E,  25,    0, SD
WP, 60, 2013083006,   , XRQA,   0, 281N, 1696E,  25,    0, SD
WP, 60, 2013083012,   , XRQA,   0, 277N, 1704E,  25,    0, SD
WP, 60, 2013083018,   , XRQA,   0, 281N, 1714E,  25,    0, SD
WP, 60, 2013083100,   , XRQA,   0, 288N, 1726E,  25,    0, SD
WP, 60, 2013083106,   , XRQA,   0, 300N, 1736E,  25,    0, SD
WP, 60, 2013083112,   , XRQA,   0, 312N, 1746E,  25,    0, TD
WP, 60, 2013083118,   , XRQA,   0, 321N, 1755E,  25,    0, TD
WP, 60, 2013090100,   , XRQA,   0, 328N, 1762E,  25,    0, TD
WP, 60, 2013090106,   , XRQA,   0, 334N, 1766E,  25,    0, TD
WP, 60, 2013090112,   , XRQA,   0, 336N, 1768E,  25,    0, TD
WP, 60, 2013090118,   , XRQA,   0, 337N, 1769E,  25,    0, TD
WP, 60, 2013090200,   , XRQA,   0, 338N, 1771E,  25,    0, TD
WP, 60, 2013090206,   , XRQA,   0, 337N, 1772E,  30,    0, SD
WP, 60, 2013090212,   , XRQA,   0, 335N, 1773E,  30,    0, SD
WP, 60, 2013090218,   , XRQA,   0, 334N, 1774E,  30,    0, SD
WP, 60, 2013090300,   , XRQA,   0, 331N, 1773E,  35,    0, SS
WP, 60, 2013090306,   , XRQA,   0, 327N, 1772E,  35,    0, SS
WP, 60, 2013090312,   , XRQA,   0, 323N, 1770E,  35,    0, SS
WP, 60, 2013090318,   , XRQA,   0, 322N, 1767E,  35,    0, SS
WP, 60, 2013090400,   , XRQA,   0, 321N, 1763E,  30,    0, SD
WP, 60, 2013090406,   , XRQA,   0, 318N, 1756E,  25,    0, SD
WP, 60, 2013090412,   , XRQA,   0, 316N, 1748E,  25,    0, SD
WP, 60, 2013090418,   , XRQA,   0, 313N, 1738E,  25,    0, SD
WP, 60, 2013090500,   , XRQA,   0, 311N, 1729E,  25,    0, SD
WP, 60, 2013090506,   , XRQA,   0, 310N, 1720E,  25,    0, SD
