WP, 60, 2014060900,   , XRQA,   0, 209N, 1200E,  30,    0, TD,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,    ,   0,   0,      MITAG, S, 
WP, 60, 2014060906,   , XRQA,   0, 210N, 1207E,  35,    0, TS
WP, 60, 2014060912,   , XRQA,   0, 211N, 1211E,  35,    0, TS
WP, 60, 2014060918,   , XRQA,   0, 211N, 1216E,  40,    0, TS
WP, 60, 2014061000,   , XRQA,   0, 214N, 1220E,  35,    0, TS
WP, 60, 2014061006,   , XRQA,   0, 220N, 1226E,  35,    0, TS
WP, 60, 2014061012,   , XRQA,   0, 224N, 1237E,  40,    0, TS
WP, 60, 2014061018,   , XRQA,   0, 231N, 1248E,  45,    0, TS
WP, 60, 2014061100,   , XRQA,   0, 234N, 1259E,  40,    0, TS
WP, 60, 2014061106,   , XRQA,   0, 240N, 1281E,  45,    0, TS
WP, 60, 2014061112,   , XRQA,   0, 256N, 1301E,  40,    0, TS
WP, 60, 2014061118,   , XRQA,   0, 272N, 1325E,  45,    0, TS
WP, 60, 2014061200,   , XRQA,   0, 288N, 1359E,  35,    0, TS
WP, 60, 2014061206,   , XRQA,   0, 295N, 1374E,  30,    0, EX
WP, 60, 2014061212,   , XRQA,   0, 306N, 1396E,  30,    0, EX
