CP, 01, 2015070300,   , XRQA,   0,  60N, 1589W,  15,    0, DB
CP, 01, 2015070306,   , XRQA,   0,  62N, 1595W,  15,    0, DB
CP, 01, 2015070312,   , XRQA,   0,  61N, 1601W,  15,    0, DB
CP, 01, 2015070318,   , XRQA,   0,  61N, 1605W,  15,    0, DB
CP, 01, 2015070400,   , XRQA,   0,  60N, 1609W,  20,    0, DB
CP, 01, 2015070406,   , XRQA,   0,  63N, 1614W,  20,    0, DB
CP, 01, 2015070412,   , XRQA,   0,  67N, 1618W,  20,    0, DB
CP, 01, 2015070418,   , XRQA,   0,  69N, 1624W,  20,    0, DB
CP, 01, 2015070500,   , XRQA,   0,  71N, 1630W,  25,    0, TD
CP, 01, 2015070506,   , XRQA,   0,  73N, 1635W,  25,    0, TD
CP, 01, 2015070512,   , XRQA,   0,  76N, 1639W,  25,    0, TD
CP, 01, 2015070518,   , XRQA,   0,  79N, 1643W,  20,    0, DB
CP, 01, 2015070600,   , XRQA,   0,  80N, 1648W,  20,    0, DB
CP, 01, 2015070606,   , XRQA,   0,  79N, 1652W,  25,    0, TD
CP, 01, 2015070612,   , XRQA,   0,  77N, 1657W,  25,    0, TD
CP, 01, 2015070618,   , XRQA,   0,  76N, 1660W,  30,    0, TD
CP, 01, 2015070700,   , XRQA,   0,  76N, 1664W,  30,    0, TD
CP, 01, 2015070706,   , XRQA,   0,  75N, 1667W,  35,    0, TS
CP, 01, 2015070712,   , XRQA,   0,  76N, 1669W,  40,    0, TS
CP, 01, 2015070718,   , XRQA,   0,  78N, 1671W,  35,    0, TS
CP, 01, 2015070800,   , XRQA,   0,  81N, 1671W,  35,    0, TS
CP, 01, 2015070806,   , XRQA,   0,  87N, 1667W,  40,    0, TS
CP, 01, 2015070812,   , XRQA,   0,  94N, 1665W,  45,    0, TS
CP, 01, 2015070818,   , XRQA,   0,  99N, 1665W,  40,    0, TS
CP, 01, 2015070900,   , XRQA,   0, 103N, 1666W,  30,    0, TD
CP, 01, 2015070906,   , XRQA,   0, 109N, 1671W,  35,    0, TS
CP, 01, 2015070912,   , XRQA,   0, 112N, 1679W,  30,    0, TD
CP, 01, 2015070918,   , XRQA,   0, 114N, 1686W,  30,    0, TD
CP, 01, 2015071000,   , XRQA,   0, 114N, 1694W,  30,    0, TD
CP, 01, 2015071006,   , XRQA,   0, 115N, 1702W,  35,    0, TS
CP, 01, 2015071012,   , XRQA,   0, 115N, 1711W,  40,    0, TS
CP, 01, 2015071018,   , XRQA,   0, 115N, 1719W,  50,    0, TS
CP, 01, 2015071100,   , XRQA,   0, 114N, 1728W,  55,    0, TS
CP, 01, 2015071106,   , XRQA,   0, 112N, 1740W,  60,    0, TS
CP, 01, 2015071112,   , XRQA,   0, 109N, 1749W,  65,    0, TY
CP, 01, 2015071118,   , XRQA,   0, 106N, 1758W,  65,    0, TY
CP, 01, 2015071200,   , XRQA,   0, 109N, 1769W,  55,    0, TS
CP, 01, 2015071206,   , XRQA,   0, 114N, 1777W,  50,    0, TS
CP, 01, 2015071212,   , XRQA,   0, 119N, 1786W,  50,    0, TS
CP, 01, 2015071218,   , XRQA,   0, 125N, 1796W,  50,    0, TS
CP, 01, 2015071300,   , XRQA,   0, 131N, 1795E,  55,    0, TS
CP, 01, 2015071306,   , XRQA,   0, 136N, 1787E,  55,    0, TS
CP, 01, 2015071312,   , XRQA,   0, 142N, 1775E,  70,    0, TY
CP, 01, 2015071318,   , XRQA,   0, 147N, 1764E,  85,    0, TY
CP, 01, 2015071400,   , XRQA,   0, 152N, 1754E,  95,    0, TY
CP, 01, 2015071406,   , XRQA,   0, 158N, 1743E,  90,    0, TY
CP, 01, 2015071412,   , XRQA,   0, 164N, 1732E,  75,    0, TY
CP, 01, 2015071418,   , XRQA,   0, 167N, 1720E,  70,    0, TY
CP, 01, 2015071500,   , XRQA,   0, 170N, 1713E,  65,    0, TY
CP, 01, 2015071506,   , XRQA,   0, 174N, 1701E,  50,    0, TS
CP, 01, 2015071512,   , XRQA,   0, 178N, 1688E,  50,    0, TS
CP, 01, 2015071518,   , XRQA,   0, 182N, 1677E,  55,    0, TS
CP, 01, 2015071600,   , XRQA,   0, 186N, 1666E,  45,    0, TS
CP, 01, 2015071606,   , XRQA,   0, 186N, 1654E,  50,    0, TS
CP, 01, 2015071612,   , XRQA,   0, 184N, 1639E,  50,    0, TS
CP, 01, 2015071618,   , XRQA,   0, 184N, 1622E,  30,    0, TD
CP, 01, 2015071700,   , XRQA,   0, 185N, 1610E,  35,    0, TS
CP, 01, 2015071706,   , XRQA,   0, 184N, 1597E,  35,    0, TS
CP, 01, 2015071712,   , XRQA,   0, 182N, 1585E,  40,    0, TS
CP, 01, 2015071718,   , XRQA,   0, 181N, 1576E,  45,    0, TS
CP, 01, 2015071800,   , XRQA,   0, 180N, 1565E,  35,    0, TS
CP, 01, 2015071806,   , XRQA,   0, 179N, 1556E,  30,    0, TD
CP, 01, 2015071812,   , XRQA,   0, 180N, 1544E,  30,    0, TD
CP, 01, 2015071818,   , XRQA,   0, 182N, 1531E,  30,    0, TD
CP, 01, 2015071900,   , XRQA,   0, 186N, 1522E,  35,    0, TS
CP, 01, 2015071906,   , XRQA,   0, 192N, 1515E,  35,    0, TS
CP, 01, 2015071912,   , XRQA,   0, 199N, 1504E,  40,    0, TS
CP, 01, 2015071918,   , XRQA,   0, 203N, 1495E,  35,    0, TS
CP, 01, 2015072000,   , XRQA,   0, 210N, 1485E,  45,    0, TS
CP, 01, 2015072006,   , XRQA,   0, 214N, 1475E,  60,    0, TS
CP, 01, 2015072012,   , XRQA,   0, 217N, 1463E,  70,    0, TY
CP, 01, 2015072018,   , XRQA,   0, 219N, 1454E,  80,    0, TY
CP, 01, 2015072100,   , XRQA,   0, 223N, 1440E,  85,    0, TY
CP, 01, 2015072106,   , XRQA,   0, 226N, 1429E,  90,    0, TY
CP, 01, 2015072112,   , XRQA,   0, 229N, 1417E,  95,    0, TY
CP, 01, 2015072118,   , XRQA,   0, 230N, 1405E,  90,    0, TY
CP, 01, 2015072200,   , XRQA,   0, 232N, 1396E,  95,    0, TY
CP, 01, 2015072206,   , XRQA,   0, 236N, 1385E,  85,    0, TY
CP, 01, 2015072212,   , XRQA,   0, 238N, 1377E,  95,    0, TY
CP, 01, 2015072215,   , XRQA,   0, 240N, 1373E, 100,    0, TY
CP, 01, 2015072218,   , XRQA,   0, 241N, 1368E,  95,    0, TY
CP, 01, 2015072300,   , XRQA,   0, 244N, 1359E,  95,    0, TY
CP, 01, 2015072306,   , XRQA,   0, 246N, 1351E,  85,    0, TY
CP, 01, 2015072312,   , XRQA,   0, 246N, 1343E,  85,    0, TY
