WP, 09, 2017071700,   , XRQA,   0, 265N, 1759W,  25,    0, SS
WP, 09, 2017071706,   , XRQA,   0, 264N, 1762W,  25,    0, SS
WP, 09, 2017071712,   , XRQA,   0, 263N, 1766W,  25,    0, SS
WP, 09, 2017071718,   , XRQA,   0, 261N, 1771W,  25,    0, SS
WP, 09, 2017071800,   , XRQA,   0, 258N, 1774W,  25,    0, SS
WP, 09, 2017071806,   , XRQA,   0, 255N, 1779W,  25,    0, SS
WP, 09, 2017071812,   , XRQA,   0, 251N, 1785W,  20,    0, DB
WP, 09, 2017071818,   , XRQA,   0, 246N, 1791W,  20,    0, DB
WP, 09, 2017071900,   , XRQA,   0, 241N, 1797W,  20,    0, DB
WP, 09, 2017071906,   , XRQA,   0, 237N, 1797E,  20,    0, DB
WP, 09, 2017071912,   , XRQA,   0, 234N, 1792E,  20,    0, DB
WP, 09, 2017071918,   , XRQA,   0, 231N, 1786E,  25,    0, TD
WP, 09, 2017072000,   , XRQA,   0, 230N, 1780E,  25,    0, TD
WP, 09, 2017072006,   , XRQA,   0, 233N, 1776E,  30,    0, TD
WP, 09, 2017072012,   , XRQA,   0, 239N, 1774E,  30,    0, TD
WP, 09, 2017072018,   , XRQA,   0, 246N, 1773E,  40,    0, TS
WP, 09, 2017072100,   , XRQA,   0, 254N, 1772E,  50,    0, TS
WP, 09, 2017072106,   , XRQA,   0, 266N, 1771E,  45,    0, TS
WP, 09, 2017072112,   , XRQA,   0, 282N, 1766E,  50,    0, TS
WP, 09, 2017072118,   , XRQA,   0, 303N, 1748E,  65,    0, TY
WP, 09, 2017072200,   , XRQA,   0, 305N, 1722E,  60,    0, TS
WP, 09, 2017072206,   , XRQA,   0, 300N, 1705E,  45,    0, TS
WP, 09, 2017072212,   , XRQA,   0, 301N, 1695E,  40,    0, SS
WP, 09, 2017072218,   , XRQA,   0, 304N, 1683E,  35,    0, TS
WP, 09, 2017072300,   , XRQA,   0, 306N, 1673E,  40,    0, TS
WP, 09, 2017072306,   , XRQA,   0, 309N, 1664E,  45,    0, TS
WP, 09, 2017072312,   , XRQA,   0, 312N, 1653E,  45,    0, TS
WP, 09, 2017072318,   , XRQA,   0, 315N, 1642E,  50,    0, TS
WP, 09, 2017072400,   , XRQA,   0, 319N, 1632E,  65,    0, TY
WP, 09, 2017072406,   , XRQA,   0, 326N, 1617E,  60,    0, TS
WP, 09, 2017072412,   , XRQA,   0, 330N, 1600E,  50,    0, TS
WP, 09, 2017072418,   , XRQA,   0, 332N, 1582E,  40,    0, TS
WP, 09, 2017072500,   , XRQA,   0, 330N, 1565E,  40,    0, TS
WP, 09, 2017072506,   , XRQA,   0, 328N, 1550E,  40,    0, TS
WP, 09, 2017072512,   , XRQA,   0, 323N, 1537E,  30,    0, TD
WP, 09, 2017072518,   , XRQA,   0, 320N, 1523E,  30,    0, TD
WP, 09, 2017072600,   , XRQA,   0, 317N, 1511E,  25,    0, TD
WP, 09, 2017072606,   , XRQA,   0, 312N, 1498E,  25,    0, TD
WP, 09, 2017072612,   , XRQA,   0, 301N, 1487E,  25,    0, TD
WP, 09, 2017072618,   , XRQA,   0, 292N, 1478E,  25,    0, TD
WP, 09, 2017072700,   , XRQA,   0, 280N, 1473E,  25,    0, TD
WP, 09, 2017072706,   , XRQA,   0, 269N, 1476E,  20,    0, DB
WP, 09, 2017072712,   , XRQA,   0, 261N, 1483E,  20,    0, DB
WP, 09, 2017072718,   , XRQA,   0, 263N, 1491E,  20,    0, DB
WP, 09, 2017072800,   , XRQA,   0, 271N, 1493E,  20,    0, DB
WP, 09, 2017072806,   , XRQA,   0, 278N, 1494E,  20,    0, DB
WP, 09, 2017072812,   , XRQA,   0, 288N, 1491E,  20,    0, DB
WP, 09, 2017072818,   , XRQA,   0, 302N, 1487E,  20,    0, DB
