EP, 10, 2018073100,   , XRQA,   0, 118N, 1126W,  15,    0, DB
EP, 10, 2018073106,   , XRQA,   0, 120N, 1139W,  20,    0, DB
EP, 10, 2018073112,   , XRQA,   0, 123N, 1152W,  20,    0, DB
EP, 10, 2018073118,   , XRQA,   0, 127N, 1164W,  25,    0, TD
EP, 10, 2018080100,   , XRQA,   0, 130N, 1176W,  30,    0, TD
EP, 10, 2018080106,   , XRQA,   0, 133N, 1188W,  35,    0, TS
EP, 10, 2018080112,   , XRQA,   0, 135N, 1197W,  45,    0, TS
EP, 10, 2018080118,   , XRQA,   0, 137N, 1207W,  50,    0, TS
EP, 10, 2018080200,   , XRQA,   0, 139N, 1217W,  50,    0, TS
EP, 10, 2018080206,   , XRQA,   0, 141N, 1228W,  60,    0, TS
EP, 10, 2018080212,   , XRQA,   0, 142N, 1239W,  70,    0, TY
EP, 10, 2018080218,   , XRQA,   0, 142N, 1251W,  80,    0, TY
EP, 10, 2018080300,   , XRQA,   0, 141N, 1262W,  85,    0, TY
EP, 10, 2018080306,   , XRQA,   0, 141N, 1273W,  90,    0, TY
EP, 10, 2018080312,   , XRQA,   0, 141N, 1283W,  95,    0, TY
EP, 10, 2018080318,   , XRQA,   0, 141N, 1293W, 105,    0, TY
EP, 10, 2018080400,   , XRQA,   0, 142N, 1303W, 115,    0, TY
EP, 10, 2018080406,   , XRQA,   0, 142N, 1313W, 125,    0, TY
EP, 10, 2018080412,   , XRQA,   0, 142N, 1322W, 110,    0, TY
EP, 10, 2018080418,   , XRQA,   0, 142N, 1331W, 120,    0, TY
EP, 10, 2018080500,   , XRQA,   0, 143N, 1341W, 115,    0, TY
EP, 10, 2018080506,   , XRQA,   0, 143N, 1352W, 120,    0, TY
EP, 10, 2018080512,   , XRQA,   0, 143N, 1363W, 125,    0, TY
EP, 10, 2018080518,   , XRQA,   0, 143N, 1374W, 130,    0, ST
EP, 10, 2018080600,   , XRQA,   0, 145N, 1386W, 130,    0, ST
EP, 10, 2018080606,   , XRQA,   0, 147N, 1399W, 115,    0, TY
EP, 10, 2018080612,   , XRQA,   0, 149N, 1413W, 110,    0, TY
EP, 10, 2018080618,   , XRQA,   0, 151N, 1425W, 120,    0, TY
EP, 10, 2018080700,   , XRQA,   0, 155N, 1440W, 130,    0, ST
EP, 10, 2018080706,   , XRQA,   0, 157N, 1456W, 120,    0, TY
EP, 10, 2018080712,   , XRQA,   0, 160N, 1470W, 125,    0, TY
EP, 10, 2018080718,   , XRQA,   0, 162N, 1484W, 120,    0, TY
EP, 10, 2018080800,   , XRQA,   0, 164N, 1500W, 110,    0, TY
EP, 10, 2018080806,   , XRQA,   0, 164N, 1516W, 100,    0, TY
EP, 10, 2018080812,   , XRQA,   0, 164N, 1532W,  95,    0, TY
EP, 10, 2018080818,   , XRQA,   0, 164N, 1546W,  95,    0, TY
EP, 10, 2018080900,   , XRQA,   0, 165N, 1561W,  85,    0, TY
EP, 10, 2018080906,   , XRQA,   0, 166N, 1577W,  90,    0, TY
EP, 10, 2018080912,   , XRQA,   0, 166N, 1593W, 105,    0, TY
EP, 10, 2018080918,   , XRQA,   0, 167N, 1608W, 105,    0, TY
EP, 10, 2018081000,   , XRQA,   0, 169N, 1623W, 120,    0, TY
EP, 10, 2018081006,   , XRQA,   0, 172N, 1637W, 110,    0, TY
EP, 10, 2018081012,   , XRQA,   0, 175N, 1652W, 105,    0, TY
EP, 10, 2018081018,   , XRQA,   0, 177N, 1666W, 120,    0, TY
EP, 10, 2018081100,   , XRQA,   0, 181N, 1678W, 115,    0, TY
EP, 10, 2018081106,   , XRQA,   0, 185N, 1688W, 100,    0, TY
EP, 10, 2018081112,   , XRQA,   0, 190N, 1697W, 105,    0, TY
EP, 10, 2018081118,   , XRQA,   0, 196N, 1704W, 105,    0, TY
EP, 10, 2018081200,   , XRQA,   0, 207N, 1713W,  90,    0, TY
EP, 10, 2018081206,   , XRQA,   0, 216N, 1724W,  65,    0, TY
EP, 10, 2018081212,   , XRQA,   0, 225N, 1736W,  45,    0, TS
EP, 10, 2018081218,   , XRQA,   0, 233N, 1751W,  50,    0, TS
EP, 10, 2018081300,   , XRQA,   0, 242N, 1764W,  55,    0, TS
EP, 10, 2018081306,   , XRQA,   0, 247N, 1778W,  45,    0, TS
EP, 10, 2018081312,   , XRQA,   0, 251N, 1793W,  35,    0, SS
EP, 10, 2018081318,   , XRQA,   0, 256N, 1788E,  40,    0, TS
EP, 10, 2018081400,   , XRQA,   0, 260N, 1771E,  30,    0, TD
EP, 10, 2018081406,   , XRQA,   0, 264N, 1759E,  30,    0, TD
EP, 10, 2018081412,   , XRQA,   0, 270N, 1743E,  35,    0, TS
EP, 10, 2018081418,   , XRQA,   0, 278N, 1726E,  40,    0, TS
EP, 10, 2018081500,   , XRQA,   0, 287N, 1708E,  45,    0, TS
EP, 10, 2018081506,   , XRQA,   0, 293N, 1689E,  40,    0, TS
EP, 10, 2018081512,   , XRQA,   0, 298N, 1679E,  40,    0, SS
EP, 10, 2018081518,   , XRQA,   0, 305N, 1672E,  35,    0, SS
EP, 10, 2018081600,   , XRQA,   0, 315N, 1664E,  35,    0, SS
EP, 10, 2018081606,   , XRQA,   0, 323N, 1658E,  30,    0, SS
EP, 10, 2018081612,   , XRQA,   0, 329N, 1656E,  30,    0, SS
EP, 10, 2018081618,   , XRQA,   0, 336N, 1659E,  30,    0, SS
EP, 10, 2018081700,   , XRQA,   0, 352N, 1667E,  30,    0, SS
