WP, 60, 2019062100,   , XRQA,   0,  91N, 1420E,  15,    0, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,    ,   0,   0,      SEPAT, S,
WP, 60, 2019062106,   , XRQA,   0,  92N, 1397E,  15,    0, DB
WP, 60, 2019062112,   , XRQA,   0,  93N, 1374E,  15,    0, DB
WP, 60, 2019062118,   , XRQA,   0,  95N, 1354E,  15,    0, DB
WP, 60, 2019062200,   , XRQA,   0,  98N, 1337E,  20,    0, DB
WP, 60, 2019062206,   , XRQA,   0, 102N, 1320E,  20,    0, DB
WP, 60, 2019062212,   , XRQA,   0, 108N, 1306E,  20,    0, DB
WP, 60, 2019062218,   , XRQA,   0, 116N, 1294E,  25,    0, TD
WP, 60, 2019062300,   , XRQA,   0, 126N, 1288E,  25,    0, TD
WP, 60, 2019062306,   , XRQA,   0, 138N, 1282E,  25,    0, TD
WP, 60, 2019062312,   , XRQA,   0, 150N, 1279E,  25,    0, TD
WP, 60, 2019062318,   , XRQA,   0, 161N, 1277E,  30,    0, TD
WP, 60, 2019062400,   , XRQA,   0, 169N, 1276E,  30,    0, TD
WP, 60, 2019062406,   , XRQA,   0, 174N, 1276E,  30,    0, TD
WP, 60, 2019062412,   , XRQA,   0, 179N, 1277E,  30,    0, TD
WP, 60, 2019062418,   , XRQA,   0, 184N, 1278E,  30,    0, TD
WP, 60, 2019062500,   , XRQA,   0, 189N, 1279E,  35,    0, TS
WP, 60, 2019062506,   , XRQA,   0, 194N, 1280E,  30,    0, TD
WP, 60, 2019062512,   , XRQA,   0, 198N, 1280E,  30,    0, TD
WP, 60, 2019062518,   , XRQA,   0, 206N, 1279E,  30,    0, TD
WP, 60, 2019062600,   , XRQA,   0, 217N, 1279E,  35,    0, MD
WP, 60, 2019062606,   , XRQA,   0, 231N, 1282E,  40,    0, TS
WP, 60, 2019062612,   , XRQA,   0, 248N, 1288E,  30,    0, TD
WP, 60, 2019062618,   , XRQA,   0, 267N, 1296E,  30,    0, TD
WP, 60, 2019062700,   , XRQA,   0, 285N, 1303E,  30,    0, TD
WP, 60, 2019062706,   , XRQA,   0, 307N, 1320E,  30,    0, TD
WP, 60, 2019062712,   , XRQA,   0, 328N, 1348E,  35,    0, TS
WP, 60, 2019062718,   , XRQA,   0, 341N, 1379E,  40,    0, TS
WP, 60, 2019062800,   , XRQA,   0, 352N, 1414E,  50,    0, TS
WP, 60, 2019062806,   , XRQA,   0, 360N, 1467E,  45,    0, TS
WP, 60, 2019062812,   , XRQA,   0, 369N, 1510E,  40,    0, TS
WP, 60, 2019062818,   , XRQA,   0, 380N, 1542E,  35,    0, EX
WP, 60, 2019062900,   , XRQA,   0, 390N, 1563E,  35,    0, EX
WP, 60, 2019062906,   , XRQA,   0, 399N, 1587E,  35,    0, EX
WP, 60, 2019062912,   , XRQA,   0, 410N, 1602E,  35,    0, EX
WP, 60, 2019062918,   , XRQA,   0, 422N, 1609E,  35,    0, EX
WP, 60, 2019063000,   , XRQA,   0, 438N, 1616E,  35,    0, EX
WP, 60, 2019063006,   , XRQA,   0, 443N, 1633E,  35,    0, EX
WP, 60, 2019063012,   , XRQA,   0, 450N, 1655E,  35,    0, EX
WP, 60, 2019063018,   , XRQA,   0, 461N, 1682E,  35,    0, EX
