WP, 60, 2022080600,   , XRQA,   0, 150N, 1162E,  15,    0, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   W,   0,    ,   0,   0,      MULAN, S,
WP, 60, 2022080606,   , XRQA,   0, 154N, 1156E,  20,    0, DB
WP, 60, 2022080612,   , XRQA,   0, 159N, 1149E,  25,    0, TD
WP, 60, 2022080618,   , XRQA,   0, 163N, 1141E,  30,    0, TD
WP, 60, 2022080700,   , XRQA,   0, 166N, 1132E,  35,    0, TS
WP, 60, 2022080706,   , XRQA,   0, 168N, 1122E,  30,    0, TD
WP, 60, 2022080712,   , XRQA,   0, 169N, 1114E,  25,    0, TD
WP, 60, 2022080718,   , XRQA,   0, 166N, 1109E,  25,    0, TD
WP, 60, 2022080800,   , XRQA,   0, 161N, 1104E,  30,    0, TD
WP, 60, 2022080806,   , XRQA,   0, 154N, 1107E,  30,    0, TD
WP, 60, 2022080812,   , XRQA,   0, 156N, 1112E,  30,    0, TD
WP, 60, 2022080818,   , XRQA,   0, 158N, 1119E,  30,    0, MD
WP, 60, 2022080900,   , XRQA,   0, 162N, 1127E,  35,    0, MD
WP, 60, 2022080906,   , XRQA,   0, 173N, 1134E,  35,    0, MD
WP, 60, 2022080912,   , XRQA,   0, 184N, 1127E,  35,    0, MD
WP, 60, 2022080918,   , XRQA,   0, 192N, 1119E,  40,    0, TS
WP, 60, 2022081000,   , XRQA,   0, 200N, 1110E,  45,    0, TS
WP, 60, 2022081006,   , XRQA,   0, 204N, 1099E,  45,    0, TS
WP, 60, 2022081012,   , XRQA,   0, 206N, 1092E,  45,    0, TS
WP, 60, 2022081018,   , XRQA,   0, 209N, 1079E,  40,    0, TS
WP, 60, 2022081100,   , XRQA,   0, 213N, 1065E,  35,    0, TS
WP, 60, 2022081106,   , XRQA,   0, 216N, 1050E,  30,    0, TD
WP, 60, 2022081112,   , XRQA,   0, 219N, 1035E,  25,    0, TD
WP, 60, 2022081118,   , XRQA,   0, 221N, 1022E,  20,    0, DB
WP, 60, 2022081200,   , XRQA,   0, 223N, 1010E,  20,    0, DB
