WP, 26, 2025092100,   , XRQA,   0,  91N, 1420E,  15,    0, DB
WP, 26, 2025092106,   , XRQA,   0,  91N, 1413E,  15,    0, DB
WP, 26, 2025092112,   , XRQA,   0,  92N, 1408E,  15,    0, DB
WP, 26, 2025092118,   , XRQA,   0,  93N, 1403E,  20,    0, DB
WP, 26, 2025092200,   , XRQA,   0,  95N, 1399E,  20,    0, DB
WP, 26, 2025092206,   , XRQA,   0,  97N, 1391E,  20,    0, DB
WP, 26, 2025092212,   , XRQA,   0,  98N, 1383E,  25,    0, TD
WP, 26, 2025092218,   , XRQA,   0,  99N, 1375E,  25,    0, TD
WP, 26, 2025092300,   , XRQA,   0,  98N, 1365E,  30,    0, TD
WP, 26, 2025092306,   , XRQA,   0,  97N, 1355E,  35,    0, TS
WP, 26, 2025092312,   , XRQA,   0,  96N, 1346E,  40,    0, TS
WP, 26, 2025092318,   , XRQA,   0,  95N, 1337E,  45,    0, TS
WP, 26, 2025092400,   , XRQA,   0,  97N, 1327E,  45,    0, TS
WP, 26, 2025092406,   , XRQA,   0, 100N, 1318E,  55,    0, TS
WP, 26, 2025092412,   , XRQA,   0, 104N, 1310E,  55,    0, TS
WP, 26, 2025092418,   , XRQA,   0, 108N, 1301E,  60,    0, TS
WP, 26, 2025092500,   , XRQA,   0, 112N, 1291E,  50,    0, TS
WP, 26, 2025092506,   , XRQA,   0, 115N, 1279E,  50,    0, TS
WP, 26, 2025092512,   , XRQA,   0, 117N, 1268E,  55,    0, TS
WP, 26, 2025092518,   , XRQA,   0, 121N, 1253E,  55,    0, TS
WP, 26, 2025092600,   , XRQA,   0, 124N, 1232E,  70,    0, TY
WP, 26, 2025092606,   , XRQA,   0, 128N, 1212E,  65,    0, TY
WP, 26, 2025092612,   , XRQA,   0, 134N, 1191E,  55,    0, TS
WP, 26, 2025092618,   , XRQA,   0, 139N, 1171E,  50,    0, TS
WP, 26, 2025092700,   , XRQA,   0, 146N, 1151E,  60,    0, TS
WP, 26, 2025092706,   , XRQA,   0, 153N, 1136E,  55,    0, TS
WP, 26, 2025092712,   , XRQA,   0, 156N, 1121E,  65,    0, TY
WP, 26, 2025092718,   , XRQA,   0, 159N, 1107E,  65,    0, TY
WP, 26, 2025092800,   , XRQA,   0, 164N, 1094E,  70,    0, TY
WP, 26, 2025092806,   , XRQA,   0, 171N, 1081E,  75,    0, TY
WP, 26, 2025092812,   , XRQA,   0, 176N, 1072E,  80,    0, TY
WP, 26, 2025092818,   , XRQA,   0, 181N, 1062E,  90,    0, TY
WP, 26, 2025092900,   , XRQA,   0, 186N, 1052E,  65,    0, TY
WP, 26, 2025092906,   , XRQA,   0, 194N, 1039E,  45,    0, TS
WP, 26, 2025092912,   , XRQA,   0, 204N, 1025E,  35,    0, TS
WP, 26, 2025092918,   , XRQA,   0, 212N, 1011E,  30,    0, TD
WP, 26, 2025093000,   , XRQA,   0, 220N,  997E,  25,    0, TD
WP, 26, 2025093006,   , XRQA,   0, 227N,  985E,  20,    0, DB
